Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609879066,94.33,89.18,147.49,164.64,145.78,39.45,51.45,RECTANGULAR_BOX
1609879066,128.62,104.61,123.48,77.17,130.34,22.3,97.76,EMPTY_SEVEN
1609879066,140.63,87.47,82.32,36.01,70.32,147.49,171.5,EMPTY_SEVEN
1609879066,10.29,42.88,41.16,130.34,157.78,51.45,104.61,SOAP_BOTTLE_FRONT
1609879066,152.63,41.16,132.05,12.0,116.62,123.48,41.16,RECTANGULAR_BOX
1609879066,3.43,61.74,20.58,128.62,5.14,51.45,34.3,BALL_CENTER
1609879066,70.32,80.6,92.61,87.47,90.9,72.03,8.57,RECTANGULAR_BOX
1609879067,17.15,133.77,68.6,92.61,77.17,36.01,56.59,RECTANGULAR_BOX
1609879067,25.72,61.74,92.61,63.46,63.46,1.71,78.89,WALL_BALL
1609879067,54.88,101.18,135.48,123.48,39.45,132.05,150.92,EMPTY_SEVEN
1609879067,51.45,92.61,96.04,135.48,137.2,24.01,120.05,EMPTY_SEVEN
1609879067,101.18,156.06,106.33,102.9,70.32,97.76,54.88,SQUARE_MILK_90
1609879067,66.89,53.16,101.18,75.46,104.61,142.35,144.06,EMPTY_SEVEN
1609879067,135.48,41.16,24.01,66.89,41.16,49.73,135.48,RECTANGULAR_BOX
1609879067,46.31,121.77,145.78,44.59,37.73,73.75,73.75,WALL_BALL
1609879068,154.35,78.89,51.45,109.76,78.89,66.89,41.16,RECTANGULAR_BOX
1609879068,66.89,10.29,132.05,34.3,106.33,97.76,145.78,WALL_BALL
1609879068,18.87,63.46,20.58,132.05,137.2,154.35,94.33,SQUARE_MILK_90
1609879068,125.19,15.44,171.5,63.46,94.33,48.02,162.93,EMPTY_SEVEN
1609879068,99.47,92.61,96.04,24.01,27.44,121.77,94.33,EMPTY_SEVEN
1609879068,109.76,78.89,36.01,169.79,157.78,5.14,87.47,EMPTY_SEVEN
1609879069,133.77,168.07,166.36,13.72,61.74,123.48,121.77,EMPTY_SEVEN
1609879069,168.07,166.36,114.91,84.03,150.92,94.33,132.05,WALL_BALL
1609879069,161.21,22.3,159.49,169.79,3.43,133.77,102.9,EMPTY_SEVEN
1609879069,17.15,135.48,84.03,32.58,89.18,164.64,166.36,EMPTY_SEVEN
1609879069,78.89,142.35,27.44,39.45,82.32,128.62,41.16,SQUARE_MILK_90
1609879069,169.79,126.91,29.15,101.18,41.16,113.19,101.18,EMPTY_SEVEN
1609879069,5.14,92.61,10.29,142.35,162.93,161.21,138.92,RECTANGULAR_BOX
1609879069,118.34,125.19,89.18,132.05,125.19,161.21,80.6,SQUARE_MILK_90
1609879070,137.2,113.19,29.15,54.88,29.15,77.17,116.62,SQUARE_MILK_90
1609879070,56.59,82.32,113.19,51.45,25.72,149.2,24.01,SQUARE_MILK_90
1609879070,18.87,130.34,140.63,152.63,159.49,126.91,27.44,RECTANGULAR_BOX
1609879070,68.6,66.89,8.57,18.87,113.19,99.47,84.03,RECTANGULAR_BOX
1609879070,166.36,73.75,10.29,68.6,102.9,101.18,118.34,RECTANGULAR_BOX
1609879070,22.3,27.44,118.34,20.58,147.49,70.32,85.75,GLASS
1609879071,27.44,42.88,17.15,147.49,116.62,53.16,133.77,RECTANGULAR_BOX
1609879071,137.2,145.78,5.14,145.78,65.17,144.06,30.87,SQUARE_MILK_90
1609879071,63.46,75.46,150.92,101.18,34.3,68.6,116.62,EMPTY_SEVEN
1609879071,168.07,108.04,84.03,132.05,113.19,116.62,5.14,RECTANGULAR_BOX
1609879071,8.57,6.86,51.45,142.35,41.16,126.91,166.36,RECTANGULAR_BOX
1609879071,66.89,63.46,166.36,152.63,61.74,96.04,128.62,EMPTY_SEVEN
1609879071,70.32,164.64,58.31,84.03,142.35,49.73,102.9,EMPTY_SEVEN
1609879072,84.03,10.29,101.18,99.47,30.87,132.05,92.61,WALL_BALL
