Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609583229,53.25,54.19,56.01,53.7,50.57,51.9,23.33,EMPTY_SEVEN
1609583246,53.21,54.23,55.98,53.7,50.49,51.39,117.41,EMPTY_SEVEN
1609583264,53.16,54.62,56.41,53.72,50.11,51.91,109.82,EMPTY_SEVEN
1609583281,53.18,54.64,56.03,53.7,50.49,51.44,104.63,EMPTY_SEVEN
1609583299,53.31,54.58,56.39,53.63,50.11,51.4,105.24,EMPTY_SEVEN
1609583317,53.18,54.14,55.94,53.7,50.55,51.37,109.74,EMPTY_SEVEN
1609583334,53.21,54.64,57.64,54.08,50.53,51.83,105.13,EMPTY_SEVEN
1609583352,53.22,54.16,55.09,53.78,50.89,51.82,110.76,EMPTY_SEVEN
1609583369,53.26,54.28,57.68,53.34,50.07,51.4,106.17,EMPTY_SEVEN
1609583387,53.26,54.59,56.43,53.73,50.98,51.46,110.48,EMPTY_SEVEN
1609583404,54.16,54.58,57.03,53.65,50.53,51.9,106.79,EMPTY_SEVEN
1609583422,53.2,54.23,56.42,53.72,50.53,51.42,109.62,EMPTY_SEVEN
1609583439,54.12,55.13,56.82,53.68,50.13,51.98,105.95,EMPTY_SEVEN
1609583457,53.33,54.67,56.37,53.77,50.49,51.86,108.72,EMPTY_SEVEN
1609583475,53.25,54.58,56.34,53.72,50.43,51.39,111.61,EMPTY_SEVEN
1609583492,53.69,54.21,56.48,53.65,50.53,51.46,106.17,EMPTY_SEVEN
1609583510,53.2,54.62,56.81,53.71,50.53,51.43,110.71,EMPTY_SEVEN
1609583676,38.21,37.1,49.73,36.79,50.61,107.64,52.36,SQUARE_MILK_90
1609583694,38.55,36.24,50.06,36.83,51.06,108.09,106.52,SQUARE_MILK_90
1609583712,38.57,36.21,50.07,36.86,50.17,108.47,105.64,SQUARE_MILK_90
1609583729,38.21,36.28,50.13,36.81,50.53,108.02,106.16,SQUARE_MILK_90
1609583747,38.57,37.09,49.63,36.36,50.64,108.12,106.36,SQUARE_MILK_90
1609583764,38.61,37.0,50.11,36.42,50.59,107.66,45.24,SQUARE_MILK_90
1609583782,38.63,37.09,49.71,36.86,50.2,108.03,106.68,SQUARE_MILK_90
1609583799,38.15,37.08,49.72,36.37,50.6,107.67,36.28,SQUARE_MILK_90
1609583817,38.15,37.08,50.08,36.4,50.58,107.97,39.98,SQUARE_MILK_90
1609583835,38.62,36.26,50.13,36.37,50.56,107.66,107.04,SQUARE_MILK_90
1609583852,38.62,36.14,50.07,36.38,50.22,102.73,106.51,SQUARE_MILK_90
1609583870,39.09,36.28,49.72,36.4,50.19,103.62,96.71,SQUARE_MILK_90
1609583887,38.57,36.26,50.09,36.84,50.64,107.13,105.28,SQUARE_MILK_90
1609583950,17.14,16.53,5101.69,16.88,50.17,53.84,106.16,SQUARE_MILK_45
1609583967,17.12,16.9,3.94,16.8,50.17,102.32,107.46,SQUARE_MILK_45
1609583985,17.11,16.85,5094.17,16.88,50.57,53.89,106.52,SQUARE_MILK_45
1609584003,17.14,16.92,4.01,16.93,50.23,53.81,106.09,SQUARE_MILK_45
1609584021,17.11,16.9,5154.34,16.86,50.13,102.78,106.8,SQUARE_MILK_45
1609584038,17.17,16.93,3.99,16.92,50.16,53.8,105.75,SQUARE_MILK_45
1609584056,17.26,16.83,5090.94,16.51,50.17,103.67,86.49,SQUARE_MILK_45
1609584074,17.67,16.9,3.98,16.44,50.21,53.88,109.96,SQUARE_MILK_45
1609584092,17.24,16.95,5110.37,16.45,50.6,53.83,109.61,SQUARE_MILK_45
1609584109,17.17,16.87,3.96,16.4,50.13,53.42,107.18,SQUARE_MILK_45
1609584127,17.19,16.94,5180.32,16.52,50.11,53.82,110.88,SQUARE_MILK_45
1609584145,17.2,16.94,3.97,16.46,50.18,102.73,106.16,SQUARE_MILK_45
1609584162,17.66,16.9,5128.95,16.47,50.12,53.81,105.35,SQUARE_MILK_45
1609584180,17.61,16.92,4.01,16.43,50.54,103.23,20.92,SQUARE_MILK_45
1609584368,52.81,15.54,3.97,19.05,50.48,2115.51,109.24,BEAN_CAN
1609584386,53.11,15.57,18.27,19.14,50.45,2114.53,106.68,BEAN_CAN
1609584404,53.18,15.65,55.59,19.12,50.49,2114.58,93.18,BEAN_CAN
1609584421,52.79,15.61,55.56,19.05,50.42,2114.95,56.28,BEAN_CAN
1609584439,53.21,15.68,55.6,19.05,50.46,2114.89,52.39,BEAN_CAN
1609584457,53.24,15.67,55.56,19.03,50.55,2114.74,78.49,BEAN_CAN
1609584474,53.21,15.56,56.95,18.98,50.5,2114.59,30.76,BEAN_CAN
1609584492,53.21,15.55,55.6,19.04,50.48,2115.73,106.65,BEAN_CAN
1609584510,53.16,15.6,53.52,19.0,50.44,2115.19,47.66,BEAN_CAN
1609584527,53.22,15.64,56.54,18.99,50.46,2115.16,106.57,BEAN_CAN
1609584545,53.26,15.59,55.53,19.05,50.84,2115.65,106.59,BEAN_CAN
1609584563,53.13,15.57,55.53,19.07,50.52,2115.82,107.49,BEAN_CAN
1609584581,52.84,15.57,56.01,19.02,50.46,2115.0,107.64,BEAN_CAN
1609584598,52.85,15.59,55.9,19.06,50.46,2114.92,106.65,BEAN_CAN
1609584616,53.16,15.62,55.57,19.01,50.62,2114.63,105.64,BEAN_CAN
1609584719,16.99,15.77,15.69,16.25,50.74,2115.85,111.68,SOAP_BOTTLE_FRONT
1609584737,16.49,15.73,15.69,16.26,51.15,2114.61,111.24,SOAP_BOTTLE_FRONT
