,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
300,55.59,16.09,54.78,17.55,51.73,57.48,96.38,BALL_CENTER
302,56.4,16.06,55.29,17.48,51.27,57.42,109.68,BALL_CENTER
303,56.32,16.04,54.86,17.55,51.26,58.3,116.21,BALL_CENTER
304,55.08,15.96,54.87,17.62,51.24,58.28,78.56,BALL_CENTER
305,55.11,15.96,55.22,17.57,51.71,57.86,111.51,BALL_CENTER
306,55.01,16.01,55.23,17.59,51.29,57.44,99.77,BALL_CENTER
307,55.13,16.02,55.24,17.53,51.68,58.77,115.04,BALL_CENTER
308,56.0,16.01,54.89,17.53,51.69,57.43,71.26,BALL_CENTER
311,55.5,16.0,55.21,17.56,51.6,57.84,108.1,BALL_CENTER
340,20.91,16.88,54.86,17.51,51.23,54.02,108.38,BALL_CENTER
341,21.01,16.85,54.95,17.49,51.15,54.45,75.8,BALL_CENTER
342,21.05,16.87,54.93,17.41,50.77,54.91,109.79,BALL_CENTER
343,20.98,16.87,54.92,17.42,51.21,54.01,109.52,BALL_CENTER
344,20.92,16.89,54.86,17.45,51.14,54.45,109.63,BALL_CENTER
345,21.05,16.82,54.37,17.47,51.16,54.68,107.25,BALL_CENTER
346,20.94,16.86,54.41,17.46,51.2,54.43,112.38,BALL_CENTER
347,20.99,16.92,54.44,17.5,51.18,54.89,109.26,BALL_CENTER
348,21.0,16.9,54.44,17.48,51.16,54.04,108.11,BALL_CENTER
349,21.03,16.87,54.93,17.49,51.23,54.28,113.28,BALL_CENTER
353,20.96,16.91,54.85,17.5,51.71,54.86,108.37,BALL_CENTER
44,52.81,15.54,3.97,19.05,50.48,2115.51,109.24,BEAN_CAN
45,53.11,15.57,18.27,19.14,50.45,2114.53,106.68,BEAN_CAN
46,53.18,15.65,55.59,19.12,50.49,2114.58,93.18,BEAN_CAN
47,52.79,15.61,55.56,19.05,50.42,2114.95,56.28,BEAN_CAN
48,53.21,15.68,55.6,19.05,50.46,2114.89,52.39,BEAN_CAN
49,53.24,15.67,55.56,19.03,50.55,2114.74,78.49,BEAN_CAN
51,53.21,15.55,55.6,19.04,50.48,2115.73,106.65,BEAN_CAN
52,53.16,15.6,53.52,19.0,50.44,2115.19,47.66,BEAN_CAN
53,53.22,15.64,56.54,18.99,50.46,2115.16,106.57,BEAN_CAN
54,53.26,15.59,55.53,19.05,50.84,2115.65,106.59,BEAN_CAN
55,53.13,15.57,55.53,19.07,50.52,2115.82,107.49,BEAN_CAN
56,52.84,15.57,56.01,19.02,50.46,2115.0,107.64,BEAN_CAN
57,52.85,15.59,55.9,19.06,50.46,2114.92,106.65,BEAN_CAN
58,53.16,15.62,55.57,19.01,50.62,2114.63,105.64,BEAN_CAN
241,18.98,16.36,17.96,18.52,50.3,41.11,114.16,BEAN_CAN
242,19.03,16.34,17.95,18.15,50.59,40.27,110.03,BEAN_CAN
243,19.96,16.38,17.98,18.51,50.69,40.15,113.45,BEAN_CAN
244,18.94,16.3,17.89,18.11,50.64,39.33,110.29,BEAN_CAN
245,18.94,16.29,17.94,18.06,51.05,40.59,109.67,BEAN_CAN
246,19.0,16.31,17.9,18.08,50.65,40.17,110.03,BEAN_CAN
247,19.05,16.34,17.88,18.09,50.66,40.12,40.13,BEAN_CAN
248,18.98,16.4,17.94,18.08,50.71,40.22,61.07,BEAN_CAN
250,19.04,16.38,18.0,18.16,50.63,40.24,58.58,BEAN_CAN
445,20.22,17.28,18.12,19.32,50.8,42.08,118.56,BEAN_CAN
446,19.74,17.19,17.88,18.62,50.41,41.63,111.95,BEAN_CAN
447,20.15,17.21,17.74,19.33,50.78,41.68,108.6,BEAN_CAN
448,19.7,17.25,17.81,19.34,50.78,42.04,108.47,BEAN_CAN
