,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass,distanceSumHi,distanceSumLow,differentialDistanceFromRoof65,differentialDistanceFromRoof67,differentialDistanceFromRoof57
0,53.25,54.19,56.01,53.7,50.57,51.9,23.33,EMPTY_SEVEN,107.44,109.71000000000001,1.3299999999999983,28.57,27.240000000000002
1,53.21,54.23,55.98,53.7,50.49,51.39,117.41,EMPTY_SEVEN,107.44,109.68,0.8999999999999986,-66.02,-66.91999999999999
2,53.16,54.62,56.41,53.72,50.11,51.91,109.82,EMPTY_SEVEN,107.78,110.13,1.7999999999999972,-57.91,-59.709999999999994
3,53.18,54.64,56.03,53.7,50.49,51.44,104.63,EMPTY_SEVEN,107.82,109.73,0.9499999999999957,-53.19,-54.13999999999999
4,53.31,54.58,56.39,53.63,50.11,51.4,105.24,EMPTY_SEVEN,107.89,110.02000000000001,1.2899999999999991,-53.839999999999996,-55.129999999999995
5,53.18,54.14,55.94,53.7,50.55,51.37,109.74,EMPTY_SEVEN,107.32,109.64,0.8200000000000003,-58.37,-59.19
6,53.21,54.64,57.64,54.08,50.53,51.83,105.13,EMPTY_SEVEN,107.85,111.72,1.2999999999999972,-53.3,-54.599999999999994
7,53.22,54.16,55.09,53.78,50.89,51.82,110.76,EMPTY_SEVEN,107.38,108.87,0.9299999999999997,-58.940000000000005,-59.870000000000005
8,53.26,54.28,57.68,53.34,50.07,51.4,106.17,EMPTY_SEVEN,107.53999999999999,111.02000000000001,1.3299999999999983,-54.77,-56.1
9,53.26,54.59,56.43,53.73,50.98,51.46,110.48,EMPTY_SEVEN,107.85,110.16,0.480000000000004,-59.02,-59.50000000000001
10,54.16,54.58,57.03,53.65,50.53,51.9,106.79,EMPTY_SEVEN,108.74,110.68,1.3699999999999974,-54.89000000000001,-56.260000000000005
11,53.2,54.23,56.42,53.72,50.53,51.42,109.62,EMPTY_SEVEN,107.43,110.14,0.8900000000000006,-58.2,-59.09
12,54.12,55.13,56.82,53.68,50.13,51.98,105.95,EMPTY_SEVEN,109.25,110.5,1.8499999999999943,-53.970000000000006,-55.82
13,53.33,54.67,56.37,53.77,50.49,51.86,108.72,EMPTY_SEVEN,108.0,110.14,1.3699999999999974,-56.86,-58.23
14,53.25,54.58,56.34,53.72,50.43,51.39,111.61,EMPTY_SEVEN,107.83,110.06,0.9600000000000009,-60.22,-61.18
15,53.69,54.21,56.48,53.65,50.53,51.46,106.17,EMPTY_SEVEN,107.9,110.13,0.9299999999999997,-54.71,-55.64
16,53.2,54.62,56.81,53.71,50.53,51.43,110.71,EMPTY_SEVEN,107.82,110.52000000000001,0.8999999999999986,-59.279999999999994,-60.17999999999999
33,17.14,16.92,4.01,16.93,50.23,53.81,106.09,SQUARE_MILK_45,34.06,20.939999999999998,3.5800000000000054,-52.28,-55.86000000000001
35,17.17,16.93,3.99,16.92,50.16,53.8,105.75,SQUARE_MILK_45,34.1,20.910000000000004,3.6400000000000006,-51.95,-55.59
37,17.67,16.9,3.98,16.44,50.21,53.88,109.96,SQUARE_MILK_45,34.57,20.42,3.6700000000000017,-56.07999999999999,-59.74999999999999
39,17.17,16.87,3.96,16.4,50.13,53.42,107.18,SQUARE_MILK_45,34.040000000000006,20.36,3.289999999999999,-53.760000000000005,-57.050000000000004
114,52.81,18.53,21.61,17.42,49.78,52.11,110.37,GLASS,71.34,39.03,2.3299999999999983,-58.260000000000005,-60.59
115,53.27,18.44,21.62,17.47,50.33,52.07,109.74,GLASS,71.71000000000001,39.09,1.740000000000002,-57.669999999999995,-59.41
116,53.2,18.45,21.62,17.42,50.27,52.46,66.81,GLASS,71.65,39.040000000000006,2.1899999999999977,-14.350000000000001,-16.54
117,53.25,18.04,21.59,17.45,50.64,52.48,110.29,GLASS,71.28999999999999,39.04,1.8399999999999963,-57.81000000000001,-59.650000000000006
118,53.26,18.55,21.61,17.48,49.84,52.1,110.16,GLASS,71.81,39.09,2.259999999999998,-58.059999999999995,-60.31999999999999
119,53.69,18.56,21.54,17.4,49.84,52.08,105.06,GLASS,72.25,38.94,2.239999999999995,-52.980000000000004,-55.22
120,53.19,18.52,21.65,17.43,50.17,52.12,102.3,GLASS,71.71,39.08,1.9499999999999957,-50.18,-52.129999999999995
121,53.25,18.53,21.66,17.36,50.23,52.52,110.77,GLASS,71.78,39.019999999999996,2.2900000000000063,-58.24999999999999,-60.54
122,53.29,18.09,21.62,17.43,50.69,51.6,65.25,GLASS,71.38,39.05,0.9100000000000037,-13.649999999999999,-14.560000000000002
123,53.13,18.06,21.59,17.42,50.22,52.46,58.16,GLASS,71.19,39.010000000000005,2.240000000000002,-5.699999999999996,-7.939999999999998
