Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609239718,90.9,49.73,53.16,77.17,A
1609239718,12.0,8.57,18.87,92.61,A
1609239718,114.91,164.64,109.76,49.73,B
1609239718,150.92,54.88,36.01,94.33,B
1609239718,166.36,109.76,161.21,147.49,B
1609239718,36.01,111.48,15.44,48.02,A
1609239718,89.18,25.72,51.45,114.91,A
1609239718,89.18,159.49,96.04,25.72,A
1609239718,171.5,121.77,61.74,8.57,B
1609239719,128.62,144.06,156.06,109.76,B
1609239719,60.02,63.46,94.33,113.19,A
1609239719,72.03,135.48,18.87,135.48,A
1609239719,113.19,142.35,132.05,48.02,B
1609239719,150.92,159.49,22.3,162.93,B
1609239719,157.78,161.21,104.61,135.48,B
1609239719,27.44,125.19,34.3,27.44,A
1609239719,3.43,1.71,22.3,61.74,A
1609239720,144.06,56.59,87.47,128.62,B
1609239720,138.92,53.16,10.29,30.87,B
1609239720,145.78,13.72,145.78,111.48,B
1609239720,145.78,161.21,161.21,37.73,B
1609239720,12.0,18.87,157.78,130.34,A
1609239720,8.57,108.04,149.2,120.05,A
1609239720,94.33,90.9,37.73,6.86,A
1609239720,53.16,1.71,92.61,49.73,A
1609239720,63.46,84.03,46.31,89.18,A
1609239720,39.45,104.61,144.06,150.92,A
1609239720,73.75,6.86,116.62,130.34,A
1609239720,114.91,48.02,104.61,63.46,B
1609239720,128.62,133.77,145.78,60.02,B
1609239720,149.2,39.45,108.04,84.03,B
1609239720,84.03,78.89,157.78,113.19,A
1609239720,145.78,99.47,27.44,30.87,B
1609239720,128.62,159.49,87.47,12.0,B
1609239720,168.07,116.62,49.73,27.44,B
1609239720,99.47,109.76,133.77,123.48,A
1609239720,123.48,159.49,29.15,150.92,B
1609239720,87.47,49.73,65.17,99.47,A
1609239720,164.64,78.89,132.05,104.61,B
1609239720,96.04,63.46,150.92,66.89,A
1609239720,6.86,8.57,85.75,65.17,A
1609239720,25.72,152.63,114.91,106.33,A
1609239720,56.59,56.59,53.16,123.48,A
1609239720,128.62,66.89,42.88,25.72,B
1609239720,75.46,30.87,44.59,3.43,A
1609239720,135.48,63.46,137.2,10.29,B
1609239720,56.59,25.72,75.46,152.63,A
1609239720,104.61,130.34,169.79,169.79,B
1609239720,94.33,61.74,138.92,68.6,A
1609239721,171.5,89.18,56.59,102.9,B
1609239721,61.74,25.72,154.35,27.44,A
1609239721,13.72,104.61,116.62,17.15,A
