Time,SensorId,Value
1609023106.9117544,HCSR04_001,141.6
1609023109.0247836,HCSR04_002,143.92
1609023111.133669,HCSR04_001,9.02
1609023113.2390375,HCSR04_002,9.44
1609023115.3438535,HCSR04_001,2.17
1609023117.4540646,HCSR04_002,189.6
1609023119.5641484,HCSR04_001,2.04
1609023121.6730404,HCSR04_002,143.99
1609023123.7818604,HCSR04_001,3.12
1609023125.890676,HCSR04_002,144.44
1609023128.003934,HCSR04_001,143.38
1609023130.1127095,HCSR04_002,4.33
1609023132.2214856,HCSR04_001,142.54
1609023134.330296,HCSR04_002,6.42
1609023136.4391117,HCSR04_001,143.33
1609023138.551404,HCSR04_002,173.1
1609023140.6652234,HCSR04_001,144.67
1609023142.7740345,HCSR04_002,2.61
1609023144.8830037,HCSR04_001,142.11
