Time;SensorId;Value
1609023106.9117500;HCSR04_001;141.6
1609023109.0247800;HCSR04_002;143.92
1609023111.133660;HCSR04_003;9.02
1609023113.2390300;HCSR04_004;9.44
1609023115.3438500;HCSR04_001;2.17
1609023117.4540600;HCSR04_002;189.6
1609023119.5641400;HCSR04_003;2.04
1609023121.6730400;HCSR04_004;143.99
1609023123.7818600;HCSR04_001;3.12
1609023125.890670;HCSR04_002;144.44
1609023128.003930;HCSR04_003;143.38
1609023130.1127000;HCSR04_004;4.33
1609023132.2214800;HCSR04_001;142.54
1609023134.330290;HCSR04_002;6.42
1609023136.4391100;HCSR04_003;143.33
1609023138.551400;HCSR04_004;173.1
1609023140.6652200;HCSR04_001;144.67
1609023142.7740300;HCSR04_002;2.61
1609023144.8830000;HCSR04_003;142.11
1609023146.5413000;HCSR04_004;173.1
