Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609432192,16.0,13.07,3.94,15.3,BIG_BOX
1609432202,16.0,14.31,39.0,15.31,BIG_BOX
1609432212,15.91,14.31,38.92,15.28,BIG_BOX
1609432222,15.87,13.91,38.61,15.35,BIG_BOX
1609432232,15.92,13.91,38.97,15.34,BIG_BOX
1609432242,16.04,13.92,38.96,15.35,BIG_BOX
1609432252,15.98,14.33,38.97,15.31,BIG_BOX
1609432262,15.95,13.15,38.95,15.35,BIG_BOX
1609432272,15.98,14.27,38.95,15.36,BIG_BOX
1609432282,15.98,12.99,38.59,15.33,BIG_BOX
1609432292,16.02,12.98,38.91,15.32,BIG_BOX
