Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609491566,20.69,3.83,24.24,21.08,BEAN_CAN
1609491576,52.89,21.95,24.19,21.07,BEAN_CAN
1609491586,52.93,22.34,24.22,21.11,BEAN_CAN
1609491596,24.59,22.32,24.21,21.13,BEAN_CAN
1609491606,24.57,21.9,24.25,21.04,BEAN_CAN
1609491616,52.05,21.39,24.3,21.16,BEAN_CAN
1609491626,53.7,22.29,24.17,21.13,BEAN_CAN
1609491637,52.96,21.97,24.26,21.14,BEAN_CAN
1609491647,51.79,21.97,24.24,21.14,BEAN_CAN
1609491657,24.11,21.97,24.2,21.07,BEAN_CAN
1609491667,24.56,21.91,24.25,21.14,BEAN_CAN
1609491677,52.9,21.94,24.22,21.05,BEAN_CAN
1609491687,52.83,21.96,24.17,21.06,BEAN_CAN
1609491697,24.51,22.01,24.3,21.12,BEAN_CAN
1609491707,24.57,22.01,24.24,21.08,BEAN_CAN
1609491717,24.61,22.05,24.23,21.11,BEAN_CAN
1609491727,24.59,21.93,24.18,21.03,BEAN_CAN
1609491737,24.11,21.92,24.34,21.09,BEAN_CAN
1609491747,52.96,22.03,24.23,21.11,BEAN_CAN
1609491757,24.02,22.35,24.17,21.08,BEAN_CAN
1609491767,24.06,21.92,24.26,21.09,BEAN_CAN
1609491777,24.11,21.89,24.24,21.38,BEAN_CAN
1609491787,24.07,22.35,24.17,21.02,BEAN_CAN
