Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609498927,53.52,3.88,73.24,48.9,WALL_WITH_FRAME
1609498937,5197.37,62.79,73.2,49.76,WALL_WITH_FRAME
1609498947,53.53,61.55,73.73,49.3,WALL_WITH_FRAME
1609498958,5086.37,61.47,72.92,48.96,WALL_WITH_FRAME
1609498968,60.71,62.79,72.42,49.34,WALL_WITH_FRAME
1609498978,5161.71,61.91,73.73,48.9,WALL_WITH_FRAME
1609498988,53.52,61.08,72.84,49.3,WALL_WITH_FRAME
1609498999,5178.51,61.52,73.3,48.84,WALL_WITH_FRAME
1609499009,60.3,61.51,72.84,48.88,WALL_WITH_FRAME
1609499019,5222.23,61.15,73.29,48.89,WALL_WITH_FRAME
1609499029,53.96,61.1,73.32,48.8,WALL_WITH_FRAME
1609499039,57.32,64.35,102.2,49.68,WALL_WITH_FRAME
1609499049,54.32,50.1,112.05,48.11,WALL_WITH_FRAME
1609499059,54.05,60.25,54.83,47.06,WALL_WITH_FRAME
1609499069,52.99,56.07,49.88,47.4,WALL_WITH_FRAME
1609499079,47.46,57.09,43.03,50.35,WALL_WITH_FRAME
1609499089,61.3,112.97,52.58,50.77,WALL_WITH_FRAME
1609499099,59.61,112.91,52.67,50.78,WALL_WITH_FRAME
1609499109,59.53,113.41,52.61,50.76,WALL_WITH_FRAME
1609499119,59.08,112.54,52.69,50.37,WALL_WITH_FRAME
1609499129,59.54,113.78,52.66,50.29,WALL_WITH_FRAME
1609499139,59.57,110.36,52.67,50.76,WALL_WITH_FRAME
1609499150,48.62,50.39,111.77,48.67,WALL_WITH_FRAME
1609499160,59.56,37.11,60.55,47.93,WALL_WITH_FRAME
1609499170,53.3,52.41,78.13,52.36,WALL_WITH_FRAME
1609499180,53.42,116.41,51.63,51.89,WALL_WITH_FRAME
1609499190,77.74,113.85,66.44,51.51,WALL_WITH_FRAME
1609499200,29.52,114.96,116.8,28.34,WALL_WITH_FRAME
1609499210,53.8,39.53,95.21,28.99,WALL_WITH_FRAME
1609499220,52.26,108.88,62.49,52.16,WALL_WITH_FRAME
1609499230,106.04,71.07,62.38,52.75,WALL_WITH_FRAME
1609499240,97.07,68.16,60.79,52.77,WALL_WITH_FRAME
1609499250,119.31,68.22,61.55,52.73,WALL_WITH_FRAME
1609499260,99.64,66.98,61.66,52.35,WALL_WITH_FRAME
1609499270,118.39,67.51,62.04,52.35,WALL_WITH_FRAME
1609499280,98.0,67.49,62.06,52.82,WALL_WITH_FRAME
1609499290,120.55,72.11,62.57,52.91,WALL_WITH_FRAME
1609499300,118.43,66.63,60.43,15.23,WALL_WITH_FRAME
1609499310,56.48,11.01,55.55,28.19,WALL_WITH_FRAME
1609499320,16.52,11.38,18.85,20.13,WALL_WITH_FRAME
1609499330,19.98,38.8,114.77,53.87,WALL_WITH_FRAME
1609499340,52.69,10.63,110.1,54.27,WALL_WITH_FRAME
1609499350,54.66,70.82,54.95,54.75,WALL_WITH_FRAME
1609499360,54.63,120.6,53.75,50.55,WALL_WITH_FRAME
1609499370,116.59,66.43,58.81,49.3,WALL_WITH_FRAME
1609499380,57.66,62.97,56.72,48.81,WALL_WITH_FRAME
1609499391,75.18,64.63,56.82,48.77,WALL_WITH_FRAME
1609499401,74.28,62.99,56.77,48.85,WALL_WITH_FRAME
1609499411,74.38,63.43,57.15,49.24,WALL_WITH_FRAME
1609499421,74.71,64.24,57.15,49.17,WALL_WITH_FRAME
1609499431,74.7,64.23,57.61,48.84,WALL_WITH_FRAME
1609499441,58.55,52.52,124.87,49.54,WALL_WITH_FRAME
1609499451,56.79,61.71,5100.75,49.61,WALL_WITH_FRAME
1609499461,59.04,63.88,3.99,49.15,WALL_WITH_FRAME
1609499471,55.51,65.48,56.02,48.74,WALL_WITH_FRAME
1609499481,55.07,67.16,56.79,49.25,WALL_WITH_FRAME
1609499491,55.94,65.53,56.46,48.88,WALL_WITH_FRAME
1609499501,54.49,14.23,10.7,49.56,WALL_WITH_FRAME
1609499511,11.03,11.8,121.64,49.94,WALL_WITH_FRAME
1609499521,42.37,62.07,13.95,49.51,WALL_WITH_FRAME
1609499531,54.1,16.84,58.03,50.35,WALL_WITH_FRAME
1609499541,54.37,63.03,57.6,50.31,WALL_WITH_FRAME
1609499551,54.53,62.65,57.58,50.32,WALL_WITH_FRAME
1609499561,55.32,64.3,55.99,50.31,WALL_WITH_FRAME
1609499571,51.12,66.34,57.19,49.86,WALL_WITH_FRAME
1609499582,54.48,5488.85,230.22,50.24,WALL_WITH_FRAME
1609499592,59.54,3.84,37.26,69.04,WALL_WITH_FRAME
1609499602,118.54,57.68,5160.36,26.81,WALL_WITH_FRAME
1609499612,39.3,64.33,3.93,69.57,WALL_WITH_FRAME
1609499622,53.14,65.43,51.86,49.92,WALL_WITH_FRAME
1609499633,92.82,54.35,5129.89,48.69,WALL_WITH_FRAME
1609499643,116.54,63.57,4.04,50.26,WALL_WITH_FRAME
1609499653,50.88,47.37,314.76,44.95,WALL_WITH_FRAME
1609499663,52.73,52.69,53.39,52.73,WALL_WITH_FRAME
1609499673,56.32,67.5,52.98,105.76,WALL_WITH_FRAME
1609499683,56.81,111.3,53.31,58.16,WALL_WITH_FRAME
1609499693,55.91,53.13,53.8,57.37,WALL_WITH_FRAME
1609499703,56.76,53.65,53.43,53.54,WALL_WITH_FRAME
1609499713,56.67,54.49,53.31,57.4,WALL_WITH_FRAME
