Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609514320,51.5,16.43,50.71,32.79,SQUARE_MILK_45 DEG
1609514330,52.42,16.33,50.37,32.9,SQUARE_MILK_45 DEG
1609514340,51.95,16.37,50.4,32.94,SQUARE_MILK_45 DEG
1609514350,51.5,16.34,50.41,32.8,SQUARE_MILK_45 DEG
1609514360,52.33,16.45,50.78,32.84,SQUARE_MILK_45 DEG
1609514370,51.47,16.38,50.77,32.81,SQUARE_MILK_45 DEG
1609514380,52.37,17.19,50.73,32.87,SQUARE_MILK_45 DEG
1609514390,52.79,16.32,50.75,32.91,SQUARE_MILK_45 DEG
1609514400,52.43,16.39,50.34,32.91,SQUARE_MILK_45 DEG
1609514410,52.39,16.38,50.74,32.87,SQUARE_MILK_45 DEG
