Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609514547,55.97,53.49,53.84,55.1,WALL_45_DEGREE
1609514557,55.96,53.49,53.97,55.54,WALL_45_DEGREE
1609514567,55.94,53.5,53.92,55.12,WALL_45_DEGREE
1609514577,55.2,53.49,53.57,55.1,WALL_45_DEGREE
1609514587,56.01,53.49,54.11,55.15,WALL_45_DEGREE
1609514597,55.56,53.5,53.91,55.11,WALL_45_DEGREE
1609514607,56.0,53.49,53.97,55.58,WALL_45_DEGREE
1609514617,56.03,53.54,53.58,55.84,WALL_45_DEGREE
1609514627,55.69,53.08,53.94,55.5,WALL_45_DEGREE
1609514637,55.94,53.44,53.93,55.92,WALL_45_DEGREE
1609514647,55.96,53.46,53.99,55.45,WALL_45_DEGREE
1609514657,55.56,53.45,54.68,56.48,WALL_45_DEGREE
1609514667,55.62,53.73,53.99,56.0,WALL_45_DEGREE
1609514677,56.03,53.58,54.07,55.99,WALL_45_DEGREE
1609514687,56.1,53.24,54.46,55.96,WALL_45_DEGREE
1609514697,56.12,53.61,54.43,56.07,WALL_45_DEGREE
