Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609583229,53.25,54.19,56.01,53.7,50.57,51.9,23.33,EMPTY_SEVEN
1609583246,53.21,54.23,55.98,53.7,50.49,51.39,117.41,EMPTY_SEVEN
1609583264,53.16,54.62,56.41,53.72,50.11,51.91,109.82,EMPTY_SEVEN
1609583281,53.18,54.64,56.03,53.7,50.49,51.44,104.63,EMPTY_SEVEN
1609583299,53.31,54.58,56.39,53.63,50.11,51.4,105.24,EMPTY_SEVEN
1609583317,53.18,54.14,55.94,53.7,50.55,51.37,109.74,EMPTY_SEVEN
1609583334,53.21,54.64,57.64,54.08,50.53,51.83,105.13,EMPTY_SEVEN
1609583352,53.22,54.16,55.09,53.78,50.89,51.82,110.76,EMPTY_SEVEN
1609583369,53.26,54.28,57.68,53.34,50.07,51.4,106.17,EMPTY_SEVEN
1609583387,53.26,54.59,56.43,53.73,50.98,51.46,110.48,EMPTY_SEVEN
1609583404,54.16,54.58,57.03,53.65,50.53,51.9,106.79,EMPTY_SEVEN
1609583422,53.2,54.23,56.42,53.72,50.53,51.42,109.62,EMPTY_SEVEN
1609583439,54.12,55.13,56.82,53.68,50.13,51.98,105.95,EMPTY_SEVEN
1609583457,53.33,54.67,56.37,53.77,50.49,51.86,108.72,EMPTY_SEVEN
1609583475,53.25,54.58,56.34,53.72,50.43,51.39,111.61,EMPTY_SEVEN
1609583492,53.69,54.21,56.48,53.65,50.53,51.46,106.17,EMPTY_SEVEN
1609583510,53.2,54.62,56.81,53.71,50.53,51.43,110.71,EMPTY_SEVEN
