Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609583950,17.14,16.53,5101.69,16.88,50.17,53.84,106.16,SQUARE_MILK_45
1609583967,17.12,16.9,3.94,16.8,50.17,102.32,107.46,SQUARE_MILK_45
1609583985,17.11,16.85,5094.17,16.88,50.57,53.89,106.52,SQUARE_MILK_45
1609584003,17.14,16.92,4.01,16.93,50.23,53.81,106.09,SQUARE_MILK_45
1609584021,17.11,16.9,5154.34,16.86,50.13,102.78,106.8,SQUARE_MILK_45
1609584038,17.17,16.93,3.99,16.92,50.16,53.8,105.75,SQUARE_MILK_45
1609584056,17.26,16.83,5090.94,16.51,50.17,103.67,86.49,SQUARE_MILK_45
1609584074,17.67,16.9,3.98,16.44,50.21,53.88,109.96,SQUARE_MILK_45
1609584092,17.24,16.95,5110.37,16.45,50.6,53.83,109.61,SQUARE_MILK_45
1609584109,17.17,16.87,3.96,16.4,50.13,53.42,107.18,SQUARE_MILK_45
1609584127,17.19,16.94,5180.32,16.52,50.11,53.82,110.88,SQUARE_MILK_45
1609584145,17.2,16.94,3.97,16.46,50.18,102.73,106.16,SQUARE_MILK_45
1609584162,17.66,16.9,5128.95,16.47,50.12,53.81,105.35,SQUARE_MILK_45
1609584180,17.61,16.92,4.01,16.43,50.54,103.23,20.92,SQUARE_MILK_45
