Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609584719,16.99,15.77,15.69,16.25,50.74,2115.85,111.68,SOAP_BOTTLE_FRONT
1609584737,16.49,15.73,15.69,16.26,51.15,2114.61,111.24,SOAP_BOTTLE_FRONT
1609584754,16.53,15.73,15.65,16.27,51.21,2114.15,106.55,SOAP_BOTTLE_FRONT
1609584772,16.5,15.72,15.23,16.25,50.68,2115.41,28.95,SOAP_BOTTLE_FRONT
1609584790,16.54,15.69,15.72,16.28,50.64,2114.45,16.67,SOAP_BOTTLE_FRONT
1609584807,16.6,15.67,15.74,16.34,50.72,2115.68,108.88,SOAP_BOTTLE_FRONT
1609584825,16.52,15.77,15.72,16.25,50.77,2114.65,111.15,SOAP_BOTTLE_FRONT
1609584843,16.58,16.16,15.68,16.29,51.13,2114.14,111.21,SOAP_BOTTLE_FRONT
1609584861,16.56,15.71,15.71,16.34,51.18,2114.29,106.17,SOAP_BOTTLE_FRONT
1609584878,16.59,15.71,15.71,16.24,51.15,2115.22,107.8,SOAP_BOTTLE_FRONT
1609584896,16.6,15.71,15.71,16.32,51.86,2114.58,106.98,SOAP_BOTTLE_FRONT
1609584914,16.54,15.65,15.68,16.29,51.16,2114.36,107.74,SOAP_BOTTLE_FRONT
1609584931,16.59,15.71,15.75,16.24,51.16,2115.57,76.87,SOAP_BOTTLE_FRONT
1609584949,16.55,15.71,15.64,16.31,51.19,2114.61,82.84,SOAP_BOTTLE_FRONT
1609584967,16.54,15.71,15.66,16.26,51.23,2115.58,99.88,SOAP_BOTTLE_FRONT
1609584984,16.52,15.78,15.73,16.31,51.22,2114.08,88.3,SOAP_BOTTLE_FRONT
1609585002,16.6,15.77,15.69,16.36,51.21,2114.69,105.58,SOAP_BOTTLE_FRONT
1609585020,16.63,15.7,15.68,16.34,51.24,2114.17,107.97,SOAP_BOTTLE_FRONT
1609585037,16.52,15.75,15.72,16.29,50.76,2114.69,65.05,SOAP_BOTTLE_FRONT
1609585055,16.58,15.68,15.72,16.31,51.14,2114.07,107.37,SOAP_BOTTLE_FRONT
1609585073,16.56,15.77,15.71,16.24,50.68,2114.14,106.25,SOAP_BOTTLE_FRONT
1609585090,16.47,15.71,15.66,16.29,50.76,2114.13,104.69,SOAP_BOTTLE_FRONT
1609585108,16.59,15.71,15.64,16.27,51.25,2115.25,106.37,SOAP_BOTTLE_FRONT
1609585126,16.51,15.75,15.74,16.22,51.15,2114.47,109.73,SOAP_BOTTLE_FRONT
1609585143,16.6,15.75,15.7,16.33,51.23,2114.04,106.96,SOAP_BOTTLE_FRONT
1609585161,16.54,15.71,15.72,16.2,51.2,2114.55,109.23,SOAP_BOTTLE_FRONT
1609585179,16.58,15.72,15.68,16.35,50.78,2113.89,106.75,SOAP_BOTTLE_FRONT
1609585197,16.53,15.7,15.67,16.23,51.21,2113.85,106.28,SOAP_BOTTLE_FRONT
1609585214,16.6,15.67,15.75,16.25,50.82,2114.73,107.1,SOAP_BOTTLE_FRONT
1609585232,16.56,15.75,15.73,16.31,51.59,2113.83,5.05,SOAP_BOTTLE_FRONT
1609585250,16.61,15.73,15.67,16.28,50.79,2114.78,101.54,SOAP_BOTTLE_FRONT
1609585267,16.6,15.69,15.71,16.33,51.23,2114.73,0.67,SOAP_BOTTLE_FRONT
1609585285,16.6,16.23,15.64,16.23,50.82,2113.66,106.68,SOAP_BOTTLE_FRONT
