Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609586557,48.56,50.96,14.53,30.73,27.14,25.8,96.35,RECTANGULAR_BOX
1609586574,47.17,50.59,14.52,30.65,26.77,26.15,101.68,RECTANGULAR_BOX
1609586592,48.57,50.96,14.52,30.69,26.75,25.78,101.54,RECTANGULAR_BOX
1609586609,48.55,50.98,14.58,30.78,26.79,25.65,108.28,RECTANGULAR_BOX
1609586627,48.55,13.4,14.57,30.75,26.69,25.8,103.19,RECTANGULAR_BOX
1609586644,48.55,51.03,14.52,30.76,27.16,25.75,104.18,RECTANGULAR_BOX
1609586662,48.53,50.61,14.58,30.71,26.72,26.18,108.55,RECTANGULAR_BOX
1609586680,48.53,14.73,14.54,30.76,26.7,25.73,46.56,RECTANGULAR_BOX
1609586697,48.56,14.72,14.44,30.76,26.77,25.77,114.29,RECTANGULAR_BOX
1609586715,48.54,50.56,14.47,30.73,26.75,25.73,106.74,RECTANGULAR_BOX
1609586732,48.13,14.78,14.5,30.76,26.7,26.14,109.95,RECTANGULAR_BOX
1609586750,48.52,13.52,14.56,30.69,27.15,25.78,109.39,RECTANGULAR_BOX
