Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609599027,53.75,15.84,55.99,19.01,50.76,2109.24,111.36,GLASS
1609599044,53.72,15.53,55.93,19.06,50.41,2107.66,108.48,GLASS
1609599062,54.19,15.64,55.54,19.1,50.33,2108.49,111.44,GLASS
1609599080,53.87,15.73,56.42,19.06,50.42,2108.23,107.42,GLASS
1609599097,54.17,15.64,55.64,19.07,50.79,2108.39,106.79,GLASS
1609599115,54.27,15.62,55.54,19.11,50.7,2107.63,66.31,GLASS
1609599133,54.2,15.58,55.57,19.09,50.37,2107.68,106.55,GLASS
1609599150,53.74,15.67,55.89,18.62,50.72,2108.89,108.02,GLASS
1609599168,54.19,15.56,54.95,18.68,50.77,2107.63,107.08,GLASS
1609599186,54.13,15.57,55.57,19.06,50.76,2108.75,113.05,GLASS
1609599203,54.57,15.65,55.51,19.0,50.81,2107.65,107.61,GLASS
1609599221,54.22,15.64,55.54,18.65,50.87,2108.37,108.16,GLASS
