Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609599545,55.59,16.09,54.78,17.55,51.73,57.48,96.38,BALL_CENTER
1609599562,55.97,16.05,55.27,17.48,51.25,57.84,37.64,BALL_CENTER
1609599580,56.4,16.06,55.29,17.48,51.27,57.42,109.68,BALL_CENTER
1609599597,56.32,16.04,54.86,17.55,51.26,58.3,116.21,BALL_CENTER
1609599615,55.08,15.96,54.87,17.62,51.24,58.28,78.56,BALL_CENTER
1609599633,55.11,15.96,55.22,17.57,51.71,57.86,111.51,BALL_CENTER
1609599650,55.01,16.01,55.23,17.59,51.29,57.44,99.77,BALL_CENTER
1609599668,55.13,16.02,55.24,17.53,51.68,58.77,115.04,BALL_CENTER
1609599685,56.0,16.01,54.89,17.53,51.69,57.43,71.26,BALL_CENTER
1609599703,55.58,16.08,55.17,17.48,52.13,106.91,109.51,BALL_CENTER
1609599720,55.49,16.07,55.27,17.57,52.91,107.03,106.9,BALL_CENTER
1609599738,55.5,16.0,55.21,17.56,51.6,57.84,108.1,BALL_CENTER
1609599756,56.37,16.05,54.81,17.6,51.65,57.42,39.4,BALL_CENTER
