Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609599819,18.98,18.62,18.8,18.79,50.78,119.22,111.96,BEER_BOTTLE
1609599837,19.48,18.19,18.84,18.73,50.4,121.46,82.28,BEER_BOTTLE
1609599854,19.48,18.66,18.76,19.26,50.76,118.73,94.58,BEER_BOTTLE
1609599872,19.45,18.24,18.79,18.78,50.81,118.83,113.18,BEER_BOTTLE
1609599889,19.5,18.33,18.81,18.8,50.37,119.17,63.84,BEER_BOTTLE
1609599907,19.49,18.24,18.82,18.8,51.21,119.64,107.95,BEER_BOTTLE
1609599924,19.44,18.65,18.79,18.8,50.78,119.6,108.82,BEER_BOTTLE
1609599942,19.51,18.58,18.81,19.16,50.71,119.24,108.9,BEER_BOTTLE
1609599960,19.46,18.67,18.78,18.8,50.83,120.89,109.51,BEER_BOTTLE
1609599977,19.51,18.64,18.76,18.88,50.75,118.76,21.95,BEER_BOTTLE
1609599995,19.48,18.71,18.81,18.85,50.78,118.3,113.14,BEER_BOTTLE
1609600012,19.47,18.71,18.83,18.79,50.76,119.67,113.57,BEER_BOTTLE
