Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609600087,18.62,18.8,18.68,17.17,50.83,63.06,68.93,BEAR_BOTTLE
1609600104,17.84,18.77,18.69,17.16,50.36,62.24,36.11,BEAR_BOTTLE
1609600122,18.24,18.76,18.69,17.14,50.36,62.23,21.86,BEAR_BOTTLE
1609600139,18.27,18.84,18.67,17.22,50.4,62.16,14.2,BEAR_BOTTLE
1609600157,17.81,18.8,18.66,17.12,50.45,62.63,109.13,BEAR_BOTTLE
1609600175,17.91,18.85,18.71,17.16,50.44,62.26,112.1,BEAR_BOTTLE
1609600192,17.8,18.75,18.7,17.17,50.42,62.17,106.78,BEAR_BOTTLE
1609600210,17.86,18.87,18.69,17.12,50.81,62.64,112.35,BEAR_BOTTLE
1609600227,18.67,18.79,18.75,17.19,50.83,63.08,107.86,BEAR_BOTTLE
1609600245,17.88,18.83,18.72,17.2,50.82,62.63,108.05,BEAR_BOTTLE
1609600262,18.36,18.76,18.62,17.19,50.35,62.21,111.83,BEAR_BOTTLE
1609600280,18.25,18.77,18.64,17.21,50.42,62.58,108.31,BEAR_BOTTLE
1609600298,18.2,18.75,18.63,17.21,50.38,63.11,108.33,BEAR_BOTTLE
1609600315,18.23,18.84,18.65,17.19,50.37,63.12,108.96,BEAR_BOTTLE
1609600333,18.32,18.81,18.67,17.21,50.85,62.65,108.34,BEAR_BOTTLE
