Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609600800,53.46,56.48,55.17,52.21,51.75,51.72,109.71,WALL_BALL
1609600818,53.49,56.07,54.78,52.15,51.24,51.77,110.74,WALL_BALL
1609600835,53.38,55.6,55.13,52.2,51.2,52.21,113.83,WALL_BALL
1609600853,53.39,56.01,54.8,52.12,51.25,51.66,59.43,WALL_BALL
1609600870,52.94,56.01,54.79,52.08,51.69,51.72,72.74,WALL_BALL
1609600888,53.4,56.77,55.14,51.74,51.67,51.64,107.98,WALL_BALL
1609600905,53.43,55.59,55.07,52.16,51.25,51.77,109.41,WALL_BALL
1609600923,53.4,55.57,55.13,52.1,51.71,52.6,107.89,WALL_BALL
1609600941,53.83,55.6,55.14,52.53,51.29,51.7,111.39,WALL_BALL
1609600958,53.4,55.97,55.08,52.22,51.17,51.74,109.09,WALL_BALL
1609600976,53.41,55.63,54.76,52.12,51.24,52.51,108.74,WALL_BALL
