Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609601063,13.14,35.15,36.3,13.47,57.69,2107.73,109.26,RECTANGULAR_BOX_SIDE
1609601080,13.12,35.06,36.15,13.48,58.55,2109.2,12.57,RECTANGULAR_BOX_SIDE
1609601098,13.12,35.11,36.22,13.51,57.67,2107.93,43.63,RECTANGULAR_BOX_SIDE
1609601116,13.14,35.09,36.28,13.51,58.55,2107.81,110.17,RECTANGULAR_BOX_SIDE
1609601134,13.14,35.14,36.24,13.49,57.64,2108.89,109.56,RECTANGULAR_BOX_SIDE
1609601151,13.11,35.07,36.24,13.55,57.71,2109.42,109.08,RECTANGULAR_BOX_SIDE
1609601169,13.12,35.13,36.21,13.52,57.68,2109.11,109.04,RECTANGULAR_BOX_SIDE
1609601187,13.19,35.14,36.4,13.48,58.63,2108.37,112.13,RECTANGULAR_BOX_SIDE
1609601204,13.1,35.13,36.25,13.5,58.05,2108.02,70.03,RECTANGULAR_BOX_SIDE
1609601222,13.17,35.2,36.2,13.52,57.69,2107.02,110.3,RECTANGULAR_BOX_SIDE
1609601240,13.14,31.22,35.79,13.51,57.77,2109.11,41.47,RECTANGULAR_BOX_SIDE
1609601257,13.17,35.07,36.31,13.47,57.65,2109.24,107.59,RECTANGULAR_BOX_SIDE
1609601275,13.13,35.17,36.17,13.49,57.64,2109.33,109.19,RECTANGULAR_BOX_SIDE
1609601293,13.26,35.08,35.81,13.48,58.16,2109.01,108.85,RECTANGULAR_BOX_SIDE
1609601310,13.21,35.17,36.25,13.55,58.51,2109.17,108.69,RECTANGULAR_BOX_SIDE
1609601328,13.1,35.1,35.89,13.49,58.16,2109.1,109.9,RECTANGULAR_BOX_SIDE
1609601346,13.13,35.14,36.27,13.46,57.67,2109.05,109.19,RECTANGULAR_BOX_SIDE
1609601363,13.15,35.15,36.33,13.43,57.64,2107.88,109.45,RECTANGULAR_BOX_SIDE
1609601381,13.14,35.47,35.89,13.52,58.14,2109.01,112.85,RECTANGULAR_BOX_SIDE
