Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609834663,53.16,3.87,55.11,53.34,44.11,47.21,98.22,EMPTY_SEVEN2
1609834681,55.35,55.12,55.15,53.29,48.6,48.98,96.11,EMPTY_SEVEN2
1609834698,54.36,55.07,55.15,52.93,49.1,49.1,95.61,EMPTY_SEVEN2
1609834716,55.24,55.2,55.07,52.92,48.73,49.12,96.35,EMPTY_SEVEN2
1609834733,55.3,55.14,55.17,52.91,49.14,49.12,13.63,EMPTY_SEVEN2
1609834751,54.45,55.1,55.11,53.34,49.11,49.1,65.43,EMPTY_SEVEN2
1609834768,55.3,55.18,55.11,52.91,48.58,49.05,73.13,EMPTY_SEVEN2
1609834786,55.23,55.12,55.15,52.97,49.01,49.06,54.62,EMPTY_SEVEN2
1609834803,54.4,55.12,55.15,52.9,48.65,49.44,96.05,EMPTY_SEVEN2
1609834821,54.38,55.13,55.05,52.91,49.02,49.59,96.29,EMPTY_SEVEN2
1609834839,54.37,55.09,55.19,52.9,49.04,49.04,95.48,EMPTY_SEVEN2
1609834856,55.19,55.12,54.86,53.94,48.62,49.51,95.63,EMPTY_SEVEN2
1609834874,55.02,54.68,55.06,52.89,48.59,49.12,95.45,EMPTY_SEVEN2
1609834891,54.35,55.12,55.19,52.82,49.11,49.03,42.49,EMPTY_SEVEN2
1609834909,54.41,55.09,55.04,52.85,48.65,49.48,94.63,EMPTY_SEVEN2
1609834926,55.3,54.71,55.04,52.96,49.07,49.0,95.61,EMPTY_SEVEN2
1609834944,55.31,55.22,55.14,52.46,48.6,48.58,94.92,EMPTY_SEVEN2
1609834961,54.34,54.73,55.1,52.5,49.1,49.06,94.74,EMPTY_SEVEN2
1609834979,55.22,55.1,55.17,52.91,48.6,48.95,94.87,EMPTY_SEVEN2
1609834997,54.75,55.19,55.1,52.94,48.57,49.04,93.76,EMPTY_SEVEN2
1609835014,55.36,55.33,55.09,52.89,48.68,49.09,96.69,EMPTY_SEVEN2
1609835032,55.2,55.19,55.54,52.9,49.03,49.53,93.93,EMPTY_SEVEN2
1609835049,54.41,55.12,55.06,52.92,48.61,49.05,13.47,EMPTY_SEVEN2
1609835067,55.23,56.19,53.88,52.95,48.59,49.05,57.41,EMPTY_SEVEN2
1609835084,54.86,55.15,55.08,52.84,50.28,49.08,40.59,EMPTY_SEVEN2
1609835102,55.18,55.11,55.13,52.95,48.66,49.06,46.63,EMPTY_SEVEN2
1609835119,54.35,55.13,55.04,52.89,48.58,49.11,53.79,EMPTY_SEVEN2
1609835137,55.27,55.11,55.14,52.87,48.59,48.59,42.13,EMPTY_SEVEN2
1609835155,54.44,54.77,55.16,53.38,48.64,48.59,33.65,EMPTY_SEVEN2
1609835172,54.46,54.69,55.43,52.92,48.55,48.72,91.97,EMPTY_SEVEN2
1609835190,55.24,55.14,55.15,52.89,48.56,49.46,93.28,EMPTY_SEVEN2
1609835207,54.35,55.17,55.12,52.88,49.05,49.11,92.12,EMPTY_SEVEN2
1609835225,54.35,53.34,55.43,52.83,50.07,48.58,93.34,EMPTY_SEVEN2
1609835242,54.48,55.14,55.1,53.4,48.58,49.07,92.54,EMPTY_SEVEN2
1609835260,54.43,54.71,55.1,52.86,48.55,48.57,91.97,EMPTY_SEVEN2
1609835277,55.31,55.1,55.57,52.84,48.65,48.69,50.78,EMPTY_SEVEN2
1609835295,55.25,54.68,55.19,52.93,48.61,49.02,93.28,EMPTY_SEVEN2
1609835313,54.4,55.2,55.11,53.86,48.62,48.63,1.87,EMPTY_SEVEN2
1609835330,54.46,54.71,55.1,52.93,48.62,48.6,57.55,EMPTY_SEVEN2
1609835348,54.37,54.75,55.13,52.92,49.08,49.0,68.75,EMPTY_SEVEN2
1609835365,54.77,55.16,55.12,52.84,49.06,48.58,87.91,EMPTY_SEVEN2
1609835383,55.27,55.07,55.11,52.97,48.62,49.07,94.42,EMPTY_SEVEN2
1609835400,54.89,55.18,55.16,52.91,48.62,49.11,93.88,EMPTY_SEVEN2
1609835418,55.32,55.23,55.06,52.9,48.6,49.01,95.51,EMPTY_SEVEN2
1609835435,54.35,54.65,53.81,52.48,49.07,48.63,55.09,EMPTY_SEVEN2
1609835453,55.24,55.84,55.2,52.87,48.62,49.03,54.78,EMPTY_SEVEN2
1609835470,55.28,55.09,55.11,52.92,49.07,49.03,31.9,EMPTY_SEVEN2
1609835488,54.44,54.66,55.06,52.88,48.52,48.53,31.17,EMPTY_SEVEN2
1609835506,54.44,54.69,55.14,52.91,48.61,49.06,93.5,EMPTY_SEVEN2
