Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609929526,39.94,38.51,24.45,64.56,49.71,49.72,99.38,SOAP_BOTTLE_SIDE
1609929544,38.98,40.04,37.07,64.09,49.78,50.11,99.69,SOAP_BOTTLE_SIDE
1609929561,38.59,37.99,37.49,64.2,50.2,50.15,99.84,SOAP_BOTTLE_SIDE
1609929579,37.74,38.92,37.4,64.11,49.86,50.21,98.72,SOAP_BOTTLE_SIDE
1609929596,37.73,38.91,37.46,64.18,49.77,50.19,110.44,SOAP_BOTTLE_SIDE
1609929614,37.72,94.2,36.58,64.21,50.17,50.53,100.29,SOAP_BOTTLE_SIDE
1609929631,37.67,61.57,37.4,63.3,50.19,50.55,99.9,SOAP_BOTTLE_SIDE
1609929649,36.8,94.61,37.01,63.29,50.22,50.02,99.33,SOAP_BOTTLE_SIDE
1609929667,36.88,62.52,36.97,63.32,50.21,50.09,100.02,SOAP_BOTTLE_SIDE
1609929684,36.85,93.27,37.05,64.07,50.71,50.16,31.3,SOAP_BOTTLE_SIDE
1609929702,36.75,94.13,36.94,63.31,49.72,50.02,98.61,SOAP_BOTTLE_SIDE
1609929719,36.31,93.77,36.92,63.33,50.61,49.68,100.41,SOAP_BOTTLE_SIDE
1609929737,36.43,62.45,36.58,63.25,50.63,49.63,98.46,SOAP_BOTTLE_SIDE
