Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609942985,39.18,18.53,59.62,17.5,48.89,49.53,94.28,BEAN_CAN
1609943003,39.16,18.59,59.53,17.54,48.45,48.65,79.26,BEAN_CAN
1609943020,39.61,18.55,60.85,17.53,48.45,49.04,108.27,BEAN_CAN
1609943038,39.62,18.51,59.64,17.5,48.95,48.69,109.01,BEAN_CAN
1609943055,39.69,18.48,58.74,17.44,48.47,49.49,100.62,BEAN_CAN
1609943073,39.67,18.65,59.95,16.65,48.91,49.12,34.39,BEAN_CAN
1609943091,39.59,18.53,59.17,17.46,48.47,49.15,48.67,BEAN_CAN
1609943108,39.6,18.46,60.03,17.43,48.43,49.11,56.64,BEAN_CAN
1609943126,38.77,18.58,59.97,17.97,48.53,49.11,104.7,BEAN_CAN
1609943143,38.72,18.45,59.22,17.49,48.5,49.18,39.38,BEAN_CAN
1609943161,39.59,18.47,59.94,17.43,48.42,49.13,64.97,BEAN_CAN
1609943178,39.69,18.62,59.63,17.48,48.43,49.56,104.3,BEAN_CAN
1609943196,38.81,18.54,59.24,17.51,48.78,49.15,105.35,BEAN_CAN
1609943213,39.66,18.54,60.49,17.5,48.5,49.14,105.01,BEAN_CAN
1609943231,38.8,18.56,60.53,17.46,48.43,49.07,105.4,BEAN_CAN
1609943249,38.73,18.56,59.24,17.43,48.84,49.63,105.22,BEAN_CAN
1609943266,38.74,18.54,59.22,17.48,48.43,48.74,104.65,BEAN_CAN
1609943284,38.77,18.46,59.6,17.48,48.55,49.19,105.12,BEAN_CAN
1609943301,39.55,18.51,60.46,17.94,48.48,49.09,16.26,BEAN_CAN
1609943319,39.66,18.52,60.51,17.45,48.43,49.2,72.54,BEAN_CAN
1609943336,39.61,18.49,59.17,17.47,48.95,49.59,115.25,BEAN_CAN
1609943354,39.63,18.52,60.43,17.59,48.89,49.12,106.7,BEAN_CAN
1609943371,38.8,18.47,59.15,17.54,48.54,49.58,91.29,BEAN_CAN
1609943389,40.01,18.59,59.65,17.81,48.47,49.16,76.85,BEAN_CAN
1609943406,38.75,18.58,59.59,17.94,48.48,49.24,77.34,BEAN_CAN
1609943424,38.73,19.39,59.6,17.52,48.46,49.12,28.2,BEAN_CAN
1609943442,38.88,18.59,59.62,17.93,48.94,49.19,20.46,BEAN_CAN
1609943459,40.1,19.39,61.79,17.88,48.96,49.59,51.25,BEAN_CAN
