Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609944716,53.74,11.06,55.28,76.95,22.91,45.79,12.23,RECTANGULAR_BOX_SIDE
1609944734,54.25,11.06,53.69,77.8,22.91,44.92,105.17,RECTANGULAR_BOX_SIDE
1609944751,53.77,10.99,54.02,77.71,23.45,44.92,105.64,RECTANGULAR_BOX_SIDE
1609944769,53.88,11.07,54.48,77.28,23.38,45.32,106.29,RECTANGULAR_BOX_SIDE
1609944786,53.76,11.04,54.11,78.16,23.41,45.36,105.67,RECTANGULAR_BOX_SIDE
1609944804,53.74,11.02,55.38,77.75,23.48,45.36,2.8,RECTANGULAR_BOX_SIDE
1609944822,52.8,11.03,54.51,77.81,23.46,45.42,42.73,RECTANGULAR_BOX_SIDE
1609944839,53.81,10.95,52.78,77.38,23.76,44.92,105.36,RECTANGULAR_BOX_SIDE
1609944857,53.83,11.06,53.7,77.36,23.44,44.94,105.4,RECTANGULAR_BOX_SIDE
1609944874,54.62,11.02,54.12,77.04,23.43,45.81,76.58,RECTANGULAR_BOX_SIDE
1609944892,53.83,10.97,53.15,78.28,23.37,44.85,15.64,RECTANGULAR_BOX_SIDE
1609944909,53.74,11.06,54.1,77.35,22.99,44.96,105.66,RECTANGULAR_BOX_SIDE
1609944927,53.79,10.97,53.22,76.94,22.94,44.94,80.21,RECTANGULAR_BOX_SIDE
1609944944,53.76,10.97,53.27,78.22,23.37,45.36,109.07,RECTANGULAR_BOX_SIDE
1609944962,54.27,10.95,53.22,76.94,23.39,45.32,102.7,RECTANGULAR_BOX_SIDE
1609944979,53.83,11.03,53.2,77.33,23.42,44.96,66.44,RECTANGULAR_BOX_SIDE
1609944997,53.76,11.05,54.04,77.36,23.77,45.39,31.43,RECTANGULAR_BOX_SIDE
1609945015,53.76,11.0,54.06,77.42,23.44,45.28,105.81,RECTANGULAR_BOX_SIDE
1609945032,53.35,11.02,53.58,77.35,22.91,44.93,105.38,RECTANGULAR_BOX_SIDE
1609945050,53.73,11.04,54.05,77.02,22.93,44.9,105.34,RECTANGULAR_BOX_SIDE
1609945067,54.17,10.97,54.03,77.39,22.97,44.57,105.22,RECTANGULAR_BOX_SIDE
1609945085,53.85,11.06,52.78,76.89,23.42,44.93,105.35,RECTANGULAR_BOX_SIDE
1609945102,53.41,10.96,52.75,77.31,22.94,45.31,104.92,RECTANGULAR_BOX_SIDE
