Time,SensorId,Value
1608995077.8317082,HCSR04_001,140.96
1608995079.8447952,HCSR04_001,11.74
1608995081.8534765,HCSR04_001,6.01
1608995083.8594441,HCSR04_001,5.51
1608995085.8645306,HCSR04_001,15.17
1608995087.8697693,HCSR04_001,13.37
1608995089.8749905,HCSR04_001,13.92
1608995091.8803644,HCSR04_001,19.8
1608995093.8862858,HCSR04_001,28.02
1608995095.8932548,HCSR04_001,44.86
1608995097.9017584,HCSR04_001,91.21
1608995099.9108825,HCSR04_001,75.65
1608995101.9197571,HCSR04_001,75.71
1608995103.9285345,HCSR04_001,68.35
1608995105.9381769,HCSR04_001,75.87
1608995107.9469805,HCSR04_001,75.72
1608995109.9558158,HCSR04_001,75.73
