Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609430059,37.05,3.84,5073.14,97.57,A
1609430292,100.83,9.75,4.02,145.25,B
1609430301,99.87,9.73,5059.16,104.86,A
1609430309,99.96,9.79,3.93,108.78,A
1609430318,99.91,9.71,5035.25,107.01,A
1609430327,98.41,9.78,3.99,107.87,A
1609430335,100.44,11.38,5071.27,106.14,B
1609430344,99.07,9.78,4.01,105.2,A
1609430352,100.3,9.71,5057.06,146.08,B
1609430361,100.37,9.72,3.97,106.12,B
1609430370,99.99,10.98,5051.73,105.3,A
1609430378,100.37,9.78,3.92,145.32,B
1609430387,100.75,11.04,5016.29,144.88,B
1609430395,99.52,9.72,4.03,100.98,A
1609430404,99.96,9.69,5053.02,105.28,A
1609430412,99.11,9.78,3.93,105.24,A
1609430421,99.01,11.77,5062.86,103.96,A
1609430430,100.41,9.72,3.94,104.41,B
1609430438,100.37,9.72,5045.85,217.58,B
1609430447,99.06,9.69,5.21,105.22,A
1609430455,99.49,9.72,5099.39,144.46,A
1609430464,99.58,5434.02,3.98,109.42,A
1609430473,99.99,3.92,151.66,128.39,A
1609430481,16.04,9.72,67.74,14.92,A
1609430490,15.89,9.78,5098.64,6.82,A
1609430499,7.7,5397.15,4.01,112.88,A
1609430507,90.41,3.84,5051.66,109.47,A
1609430516,89.51,5384.44,4.01,109.94,A
1609430525,91.28,3.9,5057.67,90.29,A
1609430534,90.82,5409.98,4.02,112.13,A
1609430542,90.82,3.82,5085.02,111.63,A
1609430551,90.0,97.56,4.04,114.28,A
1609430559,89.47,58.44,48.02,21.79,A
1609430568,39.39,70.02,30.89,21.8,A
1609430576,46.13,47.57,109.36,21.32,A
1609430584,46.16,48.45,105.21,21.27,A
1609430593,46.08,48.02,103.97,21.33,A
1609430601,45.92,48.04,111.52,21.81,A
1609430610,46.54,48.06,115.29,21.77,A
1609430618,46.09,48.02,103.15,21.3,A
1609430627,46.11,48.0,103.58,22.21,A
1609430635,46.54,48.04,108.22,22.12,A
