Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609430683,45.73,48.04,116.72,21.77,A
1609430693,24.02,48.47,100.24,21.77,A
1609430703,23.57,48.45,101.16,21.81,A
1609430713,45.75,48.42,104.41,21.77,A
1609430723,45.77,48.56,104.0,21.86,A
1609430733,24.15,48.47,104.41,21.7,A
1609430743,45.68,48.53,99.89,21.76,A
1609430753,45.76,48.44,99.02,21.82,A
1609430763,24.12,48.47,101.56,21.79,A
1609430774,45.77,48.07,109.9,21.85,A
1609430784,46.09,48.13,103.16,21.84,A
1609430794,45.77,48.05,101.51,21.81,A
1609430804,24.12,48.1,109.57,21.77,A
1609430814,24.13,48.02,102.37,21.78,A
1609430824,24.1,48.07,102.78,21.88,A
1609430834,24.13,48.06,102.06,21.82,A
1609430844,23.63,48.04,100.71,21.84,A
1609430854,45.71,48.02,113.23,21.74,A
1609430864,24.07,48.1,101.52,21.73,A
