Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609432541,46.41,44.47,49.25,45.4,SQUARE_MILK
1609432551,46.49,45.3,49.28,45.38,SQUARE_MILK
1609432561,46.89,45.29,49.31,45.28,SQUARE_MILK
1609432571,46.49,44.94,48.35,45.8,SQUARE_MILK
1609432581,46.5,10.92,48.42,45.44,SQUARE_MILK
1609432591,46.47,44.83,48.45,45.72,SQUARE_MILK
1609432601,46.37,45.26,49.68,45.32,SQUARE_MILK
1609432611,46.88,10.92,48.42,45.37,SQUARE_MILK
1609432621,46.84,11.01,49.31,23.4,SQUARE_MILK
1609432631,46.43,45.26,49.34,45.46,SQUARE_MILK
1609432641,46.47,45.28,48.47,45.33,SQUARE_MILK
1609432651,46.38,45.2,48.36,45.43,SQUARE_MILK
