Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609494072,50.11,51.43,53.15,49.25,BALL_WALL
1609494082,50.12,51.36,53.12,49.29,BALL_WALL
1609494092,49.25,51.37,53.13,49.29,BALL_WALL
1609494102,50.06,50.97,53.14,49.19,BALL_WALL
1609494112,50.07,51.4,53.19,49.33,BALL_WALL
1609494122,50.11,51.35,53.96,49.28,BALL_WALL
1609494132,50.16,51.33,53.17,49.3,BALL_WALL
1609494142,50.14,51.38,52.69,49.3,BALL_WALL
1609494152,50.09,50.92,52.71,49.23,BALL_WALL
1609494162,50.53,50.47,53.1,49.21,BALL_WALL
1609494172,50.16,50.85,52.29,49.22,BALL_WALL
1609494182,49.72,51.35,53.12,49.29,BALL_WALL
1609494193,50.06,50.92,53.2,49.23,BALL_WALL
1609494203,49.7,50.96,53.19,49.32,BALL_WALL
1609494213,50.12,51.32,53.16,49.23,BALL_WALL
1609494223,50.06,51.3,52.67,49.25,BALL_WALL
1609494233,49.71,51.38,53.15,49.27,BALL_WALL
1609494243,50.14,51.01,53.15,49.23,BALL_WALL
1609494253,50.14,51.29,52.37,49.28,BALL_WALL
1609494263,50.07,51.34,53.16,49.28,BALL_WALL
1609494273,50.06,50.96,53.11,49.27,BALL_WALL
1609494283,50.13,51.26,53.24,49.25,BALL_WALL
1609494293,50.18,51.33,53.14,49.31,BALL_WALL
1609494303,50.18,50.86,53.13,49.29,BALL_WALL
1609494313,50.08,50.51,52.31,49.33,BALL_WALL
1609494323,50.08,50.96,53.57,49.25,BALL_WALL
1609494333,50.08,50.87,52.36,49.28,BALL_WALL
1609494343,50.07,51.01,53.16,49.75,BALL_WALL
1609494353,50.06,50.62,53.18,49.28,BALL_WALL
1609494363,50.15,51.01,52.39,49.76,BALL_WALL
1609494373,50.15,50.88,52.32,49.31,BALL_WALL
1609494383,50.1,50.95,52.33,49.28,BALL_WALL
1609494393,50.16,50.96,54.42,48.36,BALL_WALL
1609494403,49.68,51.35,52.69,49.32,BALL_WALL
1609494413,50.05,50.53,53.15,49.72,BALL_WALL
1609494423,49.74,50.55,54.62,49.71,BALL_WALL
1609494433,50.06,51.34,53.18,49.28,BALL_WALL
1609494443,50.12,49.83,53.1,49.3,BALL_WALL
1609494453,49.66,50.91,53.12,49.3,BALL_WALL
1609494464,50.13,50.56,52.34,49.31,BALL_WALL
1609494474,50.12,50.95,53.18,49.3,BALL_WALL
1609494484,50.06,50.95,53.16,49.32,BALL_WALL
1609494494,50.05,50.95,52.38,49.25,BALL_WALL
1609494504,50.07,50.9,53.12,49.31,BALL_WALL
1609494514,50.17,50.94,53.17,49.28,BALL_WALL
1609494524,50.11,50.48,53.19,49.53,BALL_WALL
1609494534,49.75,50.89,53.12,49.22,BALL_WALL
1609494544,50.09,50.06,53.1,49.74,BALL_WALL
1609494554,49.71,50.53,52.71,49.75,BALL_WALL
1609494564,50.11,51.41,53.65,49.3,BALL_WALL
1609494574,50.06,50.87,52.38,49.24,BALL_WALL
1609494584,50.1,50.9,52.38,49.27,BALL_WALL
1609494594,50.07,50.94,53.16,49.68,BALL_WALL
1609494604,49.72,50.96,52.84,49.23,BALL_WALL
1609494614,50.16,50.94,53.61,49.26,BALL_WALL
1609494624,50.13,50.96,52.36,49.3,BALL_WALL
1609494634,50.14,51.41,53.16,49.24,BALL_WALL
1609494644,50.08,50.89,53.13,49.23,BALL_WALL
1609494654,50.03,50.96,53.15,49.34,BALL_WALL
1609494664,50.17,50.95,52.7,49.31,BALL_WALL
1609494674,50.12,50.89,52.78,49.21,BALL_WALL
