Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609494921,52.37,51.57,52.25,49.79,WALL
1609494931,52.86,51.25,52.21,50.24,WALL
1609494941,53.23,51.15,52.29,49.81,WALL
1609494951,52.91,51.19,52.2,49.82,WALL
1609494961,52.86,51.65,52.2,49.75,WALL
1609494971,52.4,51.68,52.27,50.32,WALL
1609494981,52.37,51.16,52.23,49.77,WALL
1609494991,52.4,51.21,53.05,50.22,WALL
1609495001,53.28,51.64,52.21,49.89,WALL
1609495011,53.23,51.2,52.18,49.84,WALL
1609495021,52.39,52.07,52.19,50.27,WALL
1609495031,52.37,51.62,52.19,49.78,WALL
1609495041,53.29,51.29,52.16,50.14,WALL
1609495051,52.92,51.67,52.21,49.77,WALL
1609495061,52.43,51.22,52.22,49.79,WALL
1609495071,52.51,52.06,52.22,50.31,WALL
1609495081,52.8,52.12,53.01,49.84,WALL
1609495091,52.44,51.24,52.21,49.85,WALL
1609495101,52.43,51.2,52.21,49.84,WALL
1609495111,52.48,51.61,52.26,49.88,WALL
1609495121,52.42,52.06,52.13,50.24,WALL
1609495131,52.45,51.66,52.17,49.78,WALL
1609495141,52.4,51.6,52.19,50.25,WALL
1609495152,52.46,51.59,52.16,50.32,WALL
1609495162,53.25,51.25,52.21,49.75,WALL
1609495172,52.33,52.42,51.84,50.3,WALL
1609495182,53.32,51.61,52.27,49.79,WALL
1609495192,52.37,52.42,51.88,50.29,WALL
1609495202,52.42,51.25,52.28,49.82,WALL
1609495212,52.41,52.12,51.81,50.22,WALL
1609495222,52.42,51.25,51.85,50.19,WALL
1609495232,52.43,51.21,51.84,49.86,WALL
1609495242,52.36,51.21,51.84,50.2,WALL
1609495252,52.37,51.17,51.8,50.2,WALL
1609495262,52.43,51.68,51.84,49.76,WALL
1609495272,51.85,51.27,51.78,50.16,WALL
1609495282,52.4,51.27,52.26,50.26,WALL
1609495292,52.42,51.18,52.21,49.67,WALL
1609495302,52.37,51.16,52.23,49.81,WALL
1609495312,52.46,51.67,52.19,50.33,WALL
1609495322,53.26,51.23,52.22,49.85,WALL
1609495332,52.42,51.17,51.75,50.29,WALL
1609495342,52.37,51.66,53.0,50.18,WALL
1609495352,52.4,50.87,52.13,49.79,WALL
1609495362,52.4,51.18,52.18,49.77,WALL
1609495372,52.38,51.22,52.18,49.77,WALL
1609495382,52.41,51.61,51.79,49.74,WALL
