Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609499744,55.89,53.2,52.62,53.51,WALL_WITH_FRAME2
1609499754,55.4,52.78,53.36,53.27,WALL_WITH_FRAME2
1609499764,55.88,54.88,53.36,57.33,WALL_WITH_FRAME2
1609499774,57.55,54.06,52.57,52.23,WALL_WITH_FRAME2
1609499784,55.94,53.6,52.96,57.33,WALL_WITH_FRAME2
1609499794,55.45,53.97,52.57,51.76,WALL_WITH_FRAME2
1609499804,56.32,53.2,53.41,54.34,WALL_WITH_FRAME2
1609499814,55.42,53.19,53.42,52.69,WALL_WITH_FRAME2
1609499824,56.32,53.63,53.4,58.22,WALL_WITH_FRAME2
1609499834,55.53,52.75,52.97,52.24,WALL_WITH_FRAME2
1609499844,55.97,54.03,52.93,58.58,WALL_WITH_FRAME2
1609499854,55.1,52.84,53.4,121.14,WALL_WITH_FRAME2
1609499864,55.87,52.74,53.38,52.21,WALL_WITH_FRAME2
1609499874,56.71,53.14,52.56,52.23,WALL_WITH_FRAME2
