Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609512210,34.97,11.85,5055.53,33.99,WALL_3D
1609512220,34.93,11.78,3.95,34.04,WALL_3D
1609512230,34.93,11.87,57.45,50.18,WALL_3D
1609512240,52.6,11.86,52.51,50.2,WALL_3D
1609512250,53.05,48.49,43.24,50.12,WALL_3D
1609512260,52.6,11.87,51.16,50.1,WALL_3D
1609512270,51.7,58.53,50.01,50.2,WALL_3D
1609512280,52.54,11.78,50.83,50.17,WALL_3D
1609512290,52.26,11.8,50.41,50.2,WALL_3D
1609512300,52.6,11.78,50.76,50.21,WALL_3D
1609512310,52.57,11.83,50.36,50.17,WALL_3D
1609512320,52.53,11.82,50.37,50.12,WALL_3D
1609512330,53.88,56.35,50.37,48.65,WALL_3D
1609512341,53.49,5430.18,50.42,50.97,WALL_3D
1609512351,52.19,4.64,50.85,50.11,WALL_3D
1609512361,52.98,5366.84,50.8,50.53,WALL_3D
1609512371,52.24,4.63,50.79,50.54,WALL_3D
1609512381,51.84,5416.04,50.3,50.14,WALL_3D
1609512392,52.6,4.61,50.3,50.11,WALL_3D
1609512402,54.65,5.72,51.14,50.14,WALL_3D
1609512412,53.02,53.19,49.98,50.24,WALL_3D
1609512422,53.49,11.84,51.09,50.98,WALL_3D
1609512432,52.21,10.93,50.67,50.18,WALL_3D
1609512442,107.09,12.24,50.8,51.0,WALL_3D
1609512452,52.15,10.94,50.22,50.15,WALL_3D
1609512462,53.47,11.01,50.34,50.18,WALL_3D
1609512472,53.39,13.03,6.55,50.14,WALL_3D
1609512482,52.24,11.75,50.11,50.5,WALL_3D
1609512492,51.74,9.7,50.3,50.18,WALL_3D
1609512502,52.56,12.64,50.75,51.05,WALL_3D
1609512512,52.17,11.88,50.37,50.08,WALL_3D
1609512522,52.21,11.76,50.33,50.24,WALL_3D
1609512532,53.43,11.82,50.37,50.15,WALL_3D
1609512542,56.03,11.78,50.28,50.09,WALL_3D
1609512552,52.14,11.8,50.4,36.17,WALL_3D
1609512562,53.83,3.79,24.41,50.15,WALL_3D
1609512572,104.89,3.81,24.06,50.21,WALL_3D
1609512582,52.16,3.77,24.03,50.16,WALL_3D
1609512592,51.7,3.88,24.35,50.16,WALL_3D
1609512602,51.77,3.78,23.97,50.13,WALL_3D
1609512612,52.57,3.72,24.0,50.18,WALL_3D
1609512622,98.1,3.41,9.32,50.62,WALL_3D
1609512632,55.16,4.83,50.51,50.6,WALL_3D
1609512642,53.09,60.67,50.85,50.22,WALL_3D
1609512653,52.21,5584.99,50.44,50.19,WALL_3D
1609512663,54.31,4.26,50.48,50.15,WALL_3D
1609512673,52.98,5581.75,50.37,50.24,WALL_3D
1609512683,53.09,4.35,50.46,50.38,WALL_3D
1609512693,53.9,5513.47,50.79,50.14,WALL_3D
1609512703,52.22,4.37,50.87,50.19,WALL_3D
1609512713,53.06,140.82,4.71,50.14,WALL_3D
1609512724,114.91,70.19,5142.82,50.64,WALL_3D
1609512734,113.51,108.25,3.23,50.62,WALL_3D
1609512744,51.83,98.1,51.01,50.16,WALL_3D
1609512754,53.13,95.14,50.72,50.15,WALL_3D
1609512764,51.85,95.59,50.66,50.15,WALL_3D
1609512774,52.19,95.13,50.35,50.16,WALL_3D
1609512784,52.19,59.35,50.71,50.19,WALL_3D
1609512794,52.22,5487.1,50.26,50.11,WALL_3D
1609512804,55.21,3.82,50.67,50.1,WALL_3D
1609512815,125.72,5534.91,50.28,50.13,WALL_3D
1609512825,53.0,3.86,50.74,50.52,WALL_3D
1609512835,53.48,116.01,50.31,50.1,WALL_3D
1609512845,53.44,95.68,50.24,50.2,WALL_3D
1609512855,112.71,58.9,50.73,50.6,WALL_3D
1609512865,177.79,38.27,37.71,71.16,WALL_3D
1609512875,75.1,37.41,38.0,72.03,WALL_3D
1609512885,74.73,37.43,38.03,71.59,WALL_3D
1609512895,81.25,37.43,38.05,71.24,WALL_3D
1609512905,81.23,37.44,38.06,72.03,WALL_3D
1609512915,81.23,37.4,38.05,70.82,WALL_3D
1609512925,81.59,37.46,37.56,71.66,WALL_3D
1609512935,81.25,37.44,37.98,72.93,WALL_3D
1609512945,74.74,37.81,37.6,71.6,WALL_3D
1609512955,81.68,37.54,37.64,71.69,WALL_3D
1609512965,73.98,37.48,37.36,70.33,WALL_3D
1609512975,83.69,39.56,40.18,70.84,WALL_3D
1609512985,82.87,39.16,39.7,71.24,WALL_3D
1609512995,82.77,39.14,39.75,71.27,WALL_3D
1609513005,85.41,39.34,39.8,71.29,WALL_3D
1609513015,82.84,39.63,40.17,71.21,WALL_3D
1609513026,83.2,39.56,40.19,71.28,WALL_3D
1609513036,83.23,39.2,39.72,71.23,WALL_3D
1609513046,82.84,39.14,39.7,72.48,WALL_3D
1609513056,82.82,39.6,39.69,72.5,WALL_3D
1609513066,82.83,39.2,39.76,71.76,WALL_3D
1609513076,84.15,39.62,39.83,71.39,WALL_3D
1609513086,70.45,39.15,39.79,70.64,WALL_3D
1609513096,83.73,39.52,39.77,69.49,WALL_3D
1609513106,84.5,39.16,39.76,71.28,WALL_3D
1609513116,83.27,39.6,39.82,72.51,WALL_3D
1609513126,83.64,39.22,39.69,72.03,WALL_3D
1609513136,82.84,39.56,39.78,71.28,WALL_3D
1609513146,82.87,39.6,39.87,70.77,WALL_3D
1609513156,83.65,39.16,39.82,71.31,WALL_3D
1609513166,82.79,39.6,39.73,71.66,WALL_3D
1609513176,83.29,39.6,40.23,72.12,WALL_3D
1609513186,83.73,39.22,40.02,71.58,WALL_3D
1609513196,82.8,39.6,39.83,72.13,WALL_3D
1609513206,83.64,39.52,40.19,71.59,WALL_3D
1609513216,83.22,39.56,39.78,71.28,WALL_3D
1609513226,82.87,39.57,39.81,73.03,WALL_3D
1609513236,83.77,39.58,39.84,71.34,WALL_3D
1609513246,82.51,39.18,40.19,74.67,WALL_3D
1609513256,83.22,39.54,39.76,72.14,WALL_3D
1609513266,82.41,39.2,40.14,72.03,WALL_3D
1609513276,82.43,39.18,39.77,70.84,WALL_3D
1609513286,83.7,39.55,39.75,71.74,WALL_3D
1609513296,83.31,39.52,39.78,72.56,WALL_3D
1609513307,83.28,39.55,39.12,71.31,WALL_3D
1609513317,82.49,39.55,48.59,85.26,WALL_3D
1609513327,86.98,39.58,39.9,71.46,WALL_3D
1609513337,84.1,39.19,39.71,70.82,WALL_3D
1609513347,83.71,39.69,39.56,72.99,WALL_3D
1609513357,82.78,39.16,39.61,72.15,WALL_3D
1609513367,83.7,39.53,39.57,72.12,WALL_3D
1609513377,83.23,39.56,40.1,71.72,WALL_3D
1609513387,83.66,39.49,39.6,72.15,WALL_3D
1609513397,83.64,39.58,40.04,72.53,WALL_3D
1609513407,84.5,39.54,40.07,72.55,WALL_3D
1609513417,83.68,39.54,39.65,72.58,WALL_3D
1609513427,83.19,39.56,39.65,71.8,WALL_3D
1609513437,83.69,39.58,39.68,71.7,WALL_3D
1609513447,84.9,39.57,39.69,72.21,WALL_3D
1609513457,83.23,39.56,40.1,71.79,WALL_3D
1609513467,84.06,39.54,39.72,53.88,WALL_3D
