Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609582676,52.85,54.54,55.12,53.62,46.64,48.16,104.67,A
1609582694,52.83,54.63,55.94,53.67,47.95,51.23,105.55,A
1609582711,53.25,54.56,55.52,53.69,48.68,50.13,89.14,A
1609582729,53.28,54.48,55.54,53.7,48.45,50.35,108.64,A
1609582746,53.73,54.48,56.65,54.11,48.03,50.31,108.01,A
1609582764,53.72,54.18,97.43,54.22,49.98,50.45,108.4,A
1609582782,53.69,54.65,98.66,54.12,50.04,50.82,108.91,A
1609582799,53.67,54.58,58.52,53.7,49.99,50.34,90.79,A
1609582817,53.72,54.26,110.48,54.5,50.42,50.89,107.91,A
1609582834,53.7,54.67,73.67,53.31,50.33,52.11,119.81,A
1609582852,53.64,54.19,57.22,54.14,50.74,51.81,100.16,A
1609582869,53.69,54.21,64.81,54.19,50.42,51.83,107.73,A
1609582887,53.69,54.3,71.95,54.2,51.26,52.2,106.2,A
1609582905,53.25,54.19,109.94,54.17,50.82,52.15,61.44,A
1609582922,53.61,54.26,56.4,53.34,50.77,51.74,106.36,A
1609582940,53.74,54.15,56.43,54.14,50.93,51.83,114.5,A
1609582957,53.27,54.67,57.78,53.76,50.46,2120.95,101.68,A
1609582975,53.29,54.59,56.39,54.17,50.36,2120.45,92.45,A
1609582993,53.28,54.3,56.45,54.18,51.35,2120.83,110.04,A
1609583010,53.22,54.3,56.37,54.12,50.37,292.01,11.0,A
1609583028,53.76,54.24,56.36,53.32,50.46,52.25,112.8,A
1609583046,53.69,54.25,74.07,54.22,50.4,51.76,111.2,A
1609583063,53.26,54.23,73.33,54.12,50.89,52.22,114.13,A
1609583081,53.74,54.2,56.5,54.17,1987.75,51.85,41.82,A
1609583099,53.25,54.24,55.94,53.67,1987.91,51.78,106.86,A
1609583116,53.62,54.21,56.41,53.28,1986.83,51.68,109.03,A
1609583134,53.25,54.16,55.16,53.25,51.85,51.05,107.59,A
1609583151,54.08,54.69,58.54,53.27,50.45,51.43,106.11,A
