Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609596644,10.36,4.26,35.71,12.94,22.03,23.99,122.23,RECTANGULAR_BOX_SIDE
1609596662,13.72,10.56,35.69,11.83,57.59,2100.54,111.41,RECTANGULAR_BOX_SIDE
1609596679,13.23,34.7,35.68,12.82,57.15,2101.42,53.06,RECTANGULAR_BOX_SIDE
1609596697,13.39,34.69,35.6,12.99,58.05,2100.45,71.89,RECTANGULAR_BOX_SIDE
1609596715,13.75,34.62,35.6,12.86,57.93,2100.32,100.84,RECTANGULAR_BOX_SIDE
1609596732,13.74,10.59,35.6,12.91,57.21,2100.54,66.04,RECTANGULAR_BOX_SIDE
1609596750,13.75,34.7,35.7,12.86,58.01,2100.69,107.32,RECTANGULAR_BOX_SIDE
1609596768,13.73,34.71,35.69,12.84,57.13,2103.23,69.51,RECTANGULAR_BOX_SIDE
1609596785,13.75,10.66,35.69,12.97,57.11,2103.16,25.05,RECTANGULAR_BOX_SIDE
1609596803,13.83,34.26,35.66,12.92,57.19,2103.05,117.54,RECTANGULAR_BOX_SIDE
1609596821,14.54,34.66,35.66,12.97,57.19,2103.32,116.63,RECTANGULAR_BOX_SIDE
1609596839,13.78,34.6,35.62,12.9,58.03,2103.34,116.06,RECTANGULAR_BOX_SIDE
1609596856,13.75,34.74,35.72,12.91,57.53,2104.13,119.46,RECTANGULAR_BOX_SIDE
