Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609597893,22.51,17.41,17.93,20.99,50.27,109.89,110.14,SQUARE_MILK_45
1609597911,22.57,17.37,18.01,21.48,50.36,2107.67,109.62,SQUARE_MILK_45
1609597929,22.63,17.36,17.91,20.53,50.3,2107.24,110.37,SQUARE_MILK_45
1609597946,22.64,17.32,17.89,20.56,50.25,2106.79,110.62,SQUARE_MILK_45
1609597964,22.6,17.37,17.95,21.46,50.38,2107.4,108.9,SQUARE_MILK_45
1609597982,20.91,17.34,17.98,20.57,50.33,2107.55,114.25,SQUARE_MILK_45
1609597999,22.56,17.37,17.86,20.6,50.8,2108.85,110.54,SQUARE_MILK_45
1609598017,22.62,17.36,17.92,20.98,50.71,2107.53,101.83,SQUARE_MILK_45
1609598035,22.58,17.43,17.95,20.58,50.4,2108.33,110.01,SQUARE_MILK_45
1609598052,22.52,17.37,17.96,21.47,50.34,2108.47,12.35,SQUARE_MILK_45
1609598070,22.57,17.35,18.03,20.64,50.36,2108.35,51.46,SQUARE_MILK_45
1609598088,22.6,17.4,18.03,21.49,50.33,2108.2,110.5,SQUARE_MILK_45
1609598105,22.56,17.33,17.96,21.41,50.31,2108.93,109.52,SQUARE_MILK_45
1609598123,22.54,17.36,17.92,20.98,50.42,2107.3,62.66,SQUARE_MILK_45
1609598141,22.54,17.33,17.92,20.64,50.31,2109.13,109.33,SQUARE_MILK_45
1609598158,22.53,17.31,17.93,21.45,50.38,2107.72,110.31,SQUARE_MILK_45
1609598176,22.56,17.42,17.91,21.46,50.38,2109.26,73.82,SQUARE_MILK_45
1609598194,22.6,17.43,17.93,20.54,50.86,2107.85,37.47,SQUARE_MILK_45
