Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609599301,53.8,49.55,54.37,50.22,51.22,53.06,105.94,WALL_BALL
1609599319,53.78,52.09,54.46,50.67,51.71,51.74,108.4,WALL_BALL
1609599336,53.79,52.11,54.42,49.42,50.8,51.78,109.06,WALL_BALL
1609599354,54.26,51.66,54.42,49.42,51.19,52.16,106.53,WALL_BALL
1609599372,53.83,52.5,54.33,48.94,51.21,52.16,107.93,WALL_BALL
1609599389,54.25,52.1,54.38,48.5,51.35,51.73,106.88,WALL_BALL
1609599407,54.25,51.25,54.39,49.36,51.77,52.08,112.6,WALL_BALL
1609599424,53.85,51.21,54.47,49.79,51.28,51.68,95.76,WALL_BALL
1609599442,54.26,52.02,54.45,48.57,50.9,52.18,111.7,WALL_BALL
1609599459,53.78,51.28,54.34,48.56,50.79,51.77,111.41,WALL_BALL
1609599477,54.26,50.35,54.37,49.37,50.85,51.73,79.09,WALL_BALL
