Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609601653,53.35,16.45,55.81,17.85,50.56,105.04,107.63,GLASS
1609601671,53.31,16.5,55.81,17.78,50.49,2107.33,1.45,GLASS
1609601688,53.38,16.45,55.77,17.84,50.42,2107.58,109.85,GLASS
1609601706,53.36,16.5,55.79,17.94,50.43,2106.98,113.21,GLASS
1609601724,53.34,16.49,55.81,17.84,50.51,2107.87,113.02,GLASS
1609601741,53.74,16.45,55.85,17.84,50.51,2107.62,109.16,GLASS
1609601759,53.34,16.46,55.8,17.82,50.44,2107.3,110.06,GLASS
1609601777,53.35,16.49,55.33,17.94,50.89,2108.19,108.65,GLASS
1609601795,53.29,16.46,56.14,17.86,50.45,2109.59,59.93,GLASS
1609601812,53.69,16.41,55.61,18.58,50.47,2107.25,113.16,GLASS
