Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609601869,20.94,39.69,34.32,19.07,51.49,2108.25,109.38,SOAP_BOTTLE_SIDE
1609601886,20.84,39.31,34.4,18.66,50.63,2107.74,89.31,SOAP_BOTTLE_SIDE
1609601904,20.49,38.89,34.33,19.09,51.04,2107.6,83.65,SOAP_BOTTLE_SIDE
1609601922,21.32,39.22,34.71,19.13,51.1,2107.69,113.8,SOAP_BOTTLE_SIDE
1609601939,20.89,39.7,33.95,19.04,51.05,2106.68,81.21,SOAP_BOTTLE_SIDE
1609601957,20.94,39.66,33.91,19.14,51.06,2108.05,120.5,SOAP_BOTTLE_SIDE
1609601975,20.93,38.86,33.88,19.1,51.0,2106.89,108.36,SOAP_BOTTLE_SIDE
1609601993,20.89,39.14,33.97,19.1,50.99,2106.86,113.53,SOAP_BOTTLE_SIDE
1609602010,20.85,38.46,33.95,19.12,51.08,2108.49,113.08,SOAP_BOTTLE_SIDE
1609602028,22.55,38.75,33.95,19.11,51.04,2107.86,112.59,SOAP_BOTTLE_SIDE
1609602046,20.82,38.86,33.93,19.05,51.05,2107.67,59.88,SOAP_BOTTLE_SIDE
1609602063,21.37,38.41,34.31,19.11,51.41,2107.16,23.22,SOAP_BOTTLE_SIDE
1609602081,20.91,38.45,33.9,19.05,51.43,2107.79,42.14,SOAP_BOTTLE_SIDE
1609602099,20.92,38.42,33.93,18.38,51.08,2108.1,113.19,SOAP_BOTTLE_SIDE
1609602116,20.87,38.81,34.31,19.06,51.02,2107.56,113.05,SOAP_BOTTLE_SIDE
1609602134,20.97,38.8,33.95,19.08,51.08,2107.22,111.84,SOAP_BOTTLE_SIDE
1609602152,20.82,38.42,33.93,19.11,51.01,2107.98,108.62,SOAP_BOTTLE_SIDE
1609602169,21.37,38.38,34.29,19.12,51.05,2107.38,110.44,SOAP_BOTTLE_SIDE
