Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609602223,17.26,16.89,17.01,16.39,51.51,2106.66,108.2,SOAP_BOTTLE_FRONT
1609602241,17.26,16.79,16.98,16.47,50.99,2107.03,86.48,SOAP_BOTTLE_FRONT
1609602258,17.3,16.88,17.0,16.44,51.03,2106.86,108.57,SOAP_BOTTLE_FRONT
1609602276,17.33,16.9,16.99,16.41,51.11,2107.22,112.84,SOAP_BOTTLE_FRONT
1609602294,17.34,16.86,16.55,16.47,51.05,2105.55,90.48,SOAP_BOTTLE_FRONT
1609602311,17.68,16.87,16.63,16.46,51.09,2106.7,103.88,SOAP_BOTTLE_FRONT
1609602329,17.24,16.89,17.01,16.46,51.44,2106.36,109.05,SOAP_BOTTLE_FRONT
1609602347,17.72,16.63,16.93,16.48,51.43,2107.0,79.25,SOAP_BOTTLE_FRONT
1609602364,17.73,16.85,16.56,16.45,51.07,111.25,108.58,SOAP_BOTTLE_FRONT
1609602382,17.25,16.86,17.08,16.44,51.43,26.94,111.72,SOAP_BOTTLE_FRONT
1609602399,17.32,16.84,16.59,16.37,51.44,26.88,109.47,SOAP_BOTTLE_FRONT
1609602417,17.3,16.85,17.07,16.47,51.43,57.2,109.12,SOAP_BOTTLE_FRONT
1609602435,17.3,16.87,17.08,16.43,51.07,26.88,29.24,SOAP_BOTTLE_FRONT
1609602452,17.23,16.88,17.04,16.43,53.25,26.87,112.69,SOAP_BOTTLE_FRONT
1609602470,17.33,16.9,17.02,16.38,51.09,26.86,52.27,SOAP_BOTTLE_FRONT
1609602487,17.26,16.8,16.55,16.43,51.47,26.85,46.13,SOAP_BOTTLE_FRONT
1609602505,17.3,16.93,16.52,16.47,51.09,26.44,109.93,SOAP_BOTTLE_FRONT
1609602522,17.27,16.83,16.6,16.44,51.06,26.5,77.95,SOAP_BOTTLE_FRONT
1609602540,17.22,16.89,16.52,16.47,51.45,26.85,113.27,SOAP_BOTTLE_FRONT
1609602557,17.28,16.85,17.02,16.41,51.02,57.16,113.26,SOAP_BOTTLE_FRONT
