Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609602629,20.13,17.21,17.8,20.45,50.84,41.71,105.76,BEAN_CAN
1609602647,20.22,17.28,18.12,19.32,50.8,42.08,118.56,BEAN_CAN
1609602664,19.74,17.19,17.88,18.62,50.41,41.63,111.95,BEAN_CAN
1609602682,20.15,17.21,17.74,19.33,50.78,41.68,108.6,BEAN_CAN
1609602699,19.7,17.25,17.81,19.34,50.78,42.04,108.47,BEAN_CAN
1609602717,19.77,17.22,17.73,19.33,50.71,41.71,107.86,BEAN_CAN
1609602734,19.82,17.26,17.76,19.33,50.81,42.05,113.29,BEAN_CAN
1609602752,19.75,17.28,17.81,18.92,50.73,41.99,106.99,BEAN_CAN
1609602770,19.73,17.2,17.8,19.37,49.99,42.13,112.58,BEAN_CAN
1609602787,19.77,17.23,17.74,18.92,50.66,42.08,80.55,BEAN_CAN
1609602805,19.72,17.17,17.85,19.31,52.24,42.1,106.43,BEAN_CAN
