Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609927729,55.39,55.56,55.96,53.04,49.04,49.27,98.69,EMPTY_SEVEN
1609927747,55.87,55.57,55.92,53.14,48.61,49.27,53.07,EMPTY_SEVEN
1609927764,55.82,55.64,55.51,53.06,48.96,49.23,99.4,EMPTY_SEVEN
1609927782,55.86,55.56,55.9,53.06,48.65,49.3,104.72,EMPTY_SEVEN
1609927799,55.79,55.15,55.62,52.67,48.62,49.36,100.83,EMPTY_SEVEN
1609927817,55.83,55.63,55.56,52.64,49.01,49.28,100.15,EMPTY_SEVEN
1609927835,55.82,53.92,55.54,52.6,48.62,49.66,100.85,EMPTY_SEVEN
1609927852,55.87,55.51,55.54,52.64,48.67,49.73,41.31,EMPTY_SEVEN
1609927870,55.4,55.17,55.6,52.62,48.99,49.32,19.27,EMPTY_SEVEN
1609927887,55.86,55.26,55.94,52.63,48.63,49.28,105.19,EMPTY_SEVEN
1609927905,55.76,55.12,56.01,52.66,48.62,49.3,99.64,EMPTY_SEVEN
1609927922,56.23,55.22,55.63,52.69,48.68,49.28,104.6,EMPTY_SEVEN
1609927940,55.47,55.22,56.02,52.67,48.62,49.3,99.96,EMPTY_SEVEN
1609927958,55.4,55.16,55.96,52.66,48.69,49.12,105.16,EMPTY_SEVEN
1609927975,55.38,55.21,55.62,52.61,48.58,49.34,104.43,EMPTY_SEVEN
1609927993,56.3,55.2,56.44,52.75,48.59,49.36,83.54,EMPTY_SEVEN
