Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609943597,16.11,37.4,16.72,13.92,22.5,23.99,46.25,RECTANGULAR_BOX
1609943615,15.44,37.36,16.69,13.96,22.44,23.96,105.44,RECTANGULAR_BOX
1609943632,15.54,37.37,16.69,14.0,22.43,23.54,105.84,RECTANGULAR_BOX
1609943650,15.42,37.4,16.63,14.03,22.38,24.01,105.83,RECTANGULAR_BOX
1609943667,15.51,37.39,16.71,13.98,22.41,23.95,105.61,RECTANGULAR_BOX
1609943685,15.51,37.45,16.63,14.02,22.51,23.56,106.29,RECTANGULAR_BOX
1609943703,15.47,37.43,16.6,14.01,22.47,24.05,105.3,RECTANGULAR_BOX
1609943720,15.55,37.37,16.61,13.93,22.44,24.01,105.74,RECTANGULAR_BOX
1609943738,15.56,37.4,16.73,14.05,22.45,24.05,105.72,RECTANGULAR_BOX
1609943755,15.5,37.4,16.69,13.93,22.92,23.53,105.31,RECTANGULAR_BOX
1609943773,15.47,37.3,16.63,14.01,22.42,23.99,105.93,RECTANGULAR_BOX
1609943790,15.53,37.44,16.61,14.02,22.42,24.05,105.49,RECTANGULAR_BOX
1609943808,15.04,37.38,16.69,14.0,22.94,24.04,105.73,RECTANGULAR_BOX
1609943825,15.58,37.41,16.62,14.0,22.84,23.93,105.68,RECTANGULAR_BOX
1609943843,15.53,37.37,16.64,13.95,22.45,23.61,105.28,RECTANGULAR_BOX
1609943860,15.58,37.36,16.69,13.97,22.41,23.57,105.54,RECTANGULAR_BOX
1609943878,15.52,37.41,16.68,14.03,22.84,23.99,106.01,RECTANGULAR_BOX
1609943896,15.5,37.41,16.59,13.99,22.89,23.62,103.72,RECTANGULAR_BOX
1609943913,15.47,37.4,16.71,13.97,22.85,24.03,105.14,RECTANGULAR_BOX
1609943931,15.48,37.39,16.66,14.03,22.94,23.97,105.73,RECTANGULAR_BOX
1609943948,15.53,37.32,16.66,13.99,22.51,23.98,105.63,RECTANGULAR_BOX
1609943966,15.07,36.89,15.83,14.04,22.42,23.52,105.44,RECTANGULAR_BOX
1609943983,15.07,37.3,15.79,13.92,22.83,23.55,105.37,RECTANGULAR_BOX
1609944001,15.03,36.94,15.75,14.01,22.97,23.61,105.64,RECTANGULAR_BOX
1609944018,15.0,37.35,15.77,13.93,22.88,24.0,105.23,RECTANGULAR_BOX
1609944036,15.04,36.93,15.77,14.0,22.8,24.01,104.94,RECTANGULAR_BOX
1609944053,15.46,36.88,14.98,13.91,22.81,23.59,108.93,RECTANGULAR_BOX
1609944071,15.5,37.43,15.77,13.95,22.92,23.96,101.67,RECTANGULAR_BOX
1609944089,15.44,37.27,15.77,14.06,22.89,23.46,109.14,RECTANGULAR_BOX
1609944106,15.44,37.38,15.77,13.97,22.53,23.97,105.08,RECTANGULAR_BOX
1609944124,15.43,37.33,15.77,14.07,22.47,23.95,104.81,RECTANGULAR_BOX
1609944141,15.46,37.26,15.84,13.99,22.48,23.58,105.28,RECTANGULAR_BOX
1609944159,15.45,37.39,15.77,13.97,22.5,23.6,105.35,RECTANGULAR_BOX
1609944176,15.47,37.35,15.78,13.94,22.44,23.55,104.11,RECTANGULAR_BOX
1609944194,15.49,37.29,15.78,13.92,22.53,23.58,105.39,RECTANGULAR_BOX
1609944211,15.41,36.92,15.8,14.0,22.48,23.58,105.96,RECTANGULAR_BOX
1609944229,15.48,37.33,15.74,13.92,22.41,24.02,105.94,RECTANGULAR_BOX
1609944246,15.47,37.33,15.71,13.92,22.44,23.56,106.08,RECTANGULAR_BOX
1609944264,15.44,36.99,15.8,13.98,22.46,23.55,105.57,RECTANGULAR_BOX
1609944282,15.39,37.38,15.82,13.95,22.46,23.61,105.32,RECTANGULAR_BOX
1609944299,15.42,37.47,15.84,13.98,22.47,23.5,105.48,RECTANGULAR_BOX
1609944317,15.43,37.36,15.84,14.01,22.47,23.51,104.58,RECTANGULAR_BOX
1609944334,15.53,37.39,15.82,14.04,22.43,23.54,105.17,RECTANGULAR_BOX
1609944352,15.11,37.45,15.83,14.02,22.45,23.63,104.94,RECTANGULAR_BOX
1609944369,15.43,37.43,15.77,14.04,22.55,23.95,105.39,RECTANGULAR_BOX
1609944387,15.46,37.37,15.8,14.46,22.48,23.61,105.2,RECTANGULAR_BOX
1609944404,15.47,37.4,15.82,14.02,22.47,23.52,108.81,RECTANGULAR_BOX
1609944422,15.1,37.42,15.78,13.98,22.5,23.51,115.31,RECTANGULAR_BOX
1609944439,15.53,37.35,15.76,14.04,22.5,23.93,104.56,RECTANGULAR_BOX
1609944457,15.15,37.36,15.79,13.96,22.53,23.61,104.98,RECTANGULAR_BOX
1609944475,15.46,37.38,15.78,13.98,22.47,23.59,105.44,RECTANGULAR_BOX
1609944492,15.45,37.32,15.7,13.96,22.45,23.56,105.13,RECTANGULAR_BOX
1609944510,15.42,36.91,15.8,14.05,22.54,23.96,105.44,RECTANGULAR_BOX
1609944527,15.51,36.91,15.82,13.94,22.48,23.61,105.28,RECTANGULAR_BOX
1609944545,15.43,37.01,15.75,14.01,22.86,24.03,105.12,RECTANGULAR_BOX
1609944562,15.43,36.99,15.77,14.0,22.84,23.94,105.41,RECTANGULAR_BOX
1609944580,15.47,36.93,15.78,13.94,22.93,24.01,104.33,RECTANGULAR_BOX
1609944597,15.47,36.95,15.81,13.93,22.55,23.53,104.73,RECTANGULAR_BOX
1609944615,15.49,36.98,15.75,13.93,22.91,23.98,105.28,RECTANGULAR_BOX
1609944632,15.47,36.96,15.75,14.05,22.48,24.01,104.86,RECTANGULAR_BOX
1609944650,15.46,36.92,15.75,13.97,22.91,23.94,104.71,RECTANGULAR_BOX
