Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609945187,20.56,18.1,55.69,16.56,48.96,51.38,31.82,BALL_CENTER
1609945205,20.95,18.1,55.33,16.48,48.43,50.89,103.47,BALL_CENTER
1609945222,20.49,18.15,56.23,16.53,48.46,50.99,102.61,BALL_CENTER
1609945240,20.58,18.15,55.38,16.51,48.97,51.82,102.93,BALL_CENTER
1609945257,20.53,18.11,55.7,16.53,48.88,51.37,102.84,BALL_CENTER
1609945275,20.57,18.08,56.16,16.49,48.96,51.78,103.3,BALL_CENTER
1609945292,20.53,18.17,55.77,16.48,48.95,51.74,103.49,BALL_CENTER
1609945310,20.51,18.18,55.78,16.49,48.92,50.88,103.83,BALL_CENTER
1609945327,19.74,18.16,56.21,16.57,48.51,51.8,102.78,BALL_CENTER
1609945345,20.58,18.16,56.19,16.58,48.52,50.95,103.79,BALL_CENTER
1609945363,21.03,18.16,56.23,16.56,48.59,51.34,102.52,BALL_CENTER
1609945380,20.55,18.15,56.21,16.45,48.94,51.76,103.89,BALL_CENTER
1609945398,20.91,18.1,55.76,16.58,48.86,51.33,103.44,BALL_CENTER
1609945415,20.6,18.13,55.77,16.46,48.5,51.81,103.63,BALL_CENTER
1609945433,20.94,18.12,56.28,16.47,48.47,51.34,104.36,BALL_CENTER
1609945450,21.04,18.19,56.26,16.58,48.5,50.89,104.1,BALL_CENTER
1609945468,20.54,17.74,55.86,16.54,48.5,51.4,104.05,BALL_CENTER
1609945485,21.03,18.22,56.2,16.52,48.96,51.36,103.66,BALL_CENTER
1609945503,20.5,18.22,56.26,16.48,48.98,51.79,102.88,BALL_CENTER
1609945521,20.94,18.07,55.78,15.48,48.97,51.83,104.09,BALL_CENTER
1609945538,21.0,18.13,56.15,16.47,48.51,51.36,104.12,BALL_CENTER
1609945556,20.48,17.69,56.14,16.51,48.57,51.4,103.73,BALL_CENTER
1609945573,20.95,17.81,55.8,16.51,48.6,51.39,29.39,BALL_CENTER
1609945591,20.92,18.06,56.24,16.55,48.94,51.42,104.34,BALL_CENTER
1609945608,20.5,18.14,56.13,16.56,48.56,51.83,102.89,BALL_CENTER
1609945626,21.03,18.18,55.44,16.47,48.46,51.35,103.37,BALL_CENTER
1609945643,20.55,18.2,56.19,16.46,48.57,51.33,103.06,BALL_CENTER
1609945661,20.61,18.12,56.18,16.47,48.99,51.44,103.39,BALL_CENTER
1609945679,20.94,18.24,56.3,16.46,48.89,51.45,103.11,BALL_CENTER
1609945696,20.46,18.14,55.83,16.54,48.94,51.48,103.18,BALL_CENTER
1609945714,20.49,18.14,56.2,16.5,48.49,51.85,22.91,BALL_CENTER
1609945731,20.52,18.18,56.21,16.51,48.94,51.33,41.33,BALL_CENTER
